FINAL RESULTS 
Sysver	numExplicitCC	numCCUsed	perCCUsed	numCCDC	perCCDC	numCCSubtype	perCCSubtype	numCCExreuseNoSubtype	perCCExreuseNoSubtype	numCCUsedOnlyInRe	perCCUsedOnlyInRe	numCCUnexplSuper	perCCUnexplSuper	numCCUnExplCategory	perCCUnExplCategory	numCCUnknown	perCCUnknown	numExplicitCI	numOnlyCISubtype	perOnlyCISubtype	numExplainedCI	perExplainedCI	numCategoryExplCI	perCategoryExplCI	numUnexplainedCI	perUnexplainedCI	numExplicitII	numIISubtype	perIISubtype	numOnlyIIReuse	perOnlyIIReuse	numExplainedII	perExplainedII	numCategoryExplII	perCategoryExplII	numUnexplainedII	perUnexplainedII	
ant1.8.1	644	579	0.8991	184	0.2857	400	0.6908	73	0.1261	106	0.1831	4	0.006211	14	0.02174	15	0.02329	256	98	0.3828	53	0.2070	48	0.1875	57	0.2227	18	13	0.7222	1	0.05556	2	0.1111	0	0.	2	0.1111	 
antlr-3.4	156	131	0.8397	26	0.1667	54	0.4122	23	0.1756	54	0.4122	0	0.	0	0.	22	0.1410	38	24	0.6316	0	0.	5	0.1316	9	0.2368	3	3	1.	0	0.	0	0.	0	0.	0	0.	 
aoi-2.8.1	217	216	0.9954	65	0.2995	214	0.9907	0	0.	2	0.009259	0	0.	1	0.004608	0	0.	113	88	0.7788	4	0.03540	6	0.05310	15	0.1327	2	2	1.	0	0.	0	0.	0	0.	0	0.	 
argouml-0.34	761	689	0.9054	396	0.5204	525	0.7620	22	0.03193	142	0.2061	27	0.03548	1	0.001314	10	0.01314	219	125	0.5708	27	0.1233	11	0.05023	56	0.2557	32	27	0.8438	1	0.03125	0	0.	0	0.	4	0.125	 
aspectj-1.6.9_tools	1101	1068	0.9700	392	0.3560	991	0.9279	46	0.04307	31	0.02903	23	0.02089	4	0.003633	3	0.002725	496	307	0.6190	126	0.2540	19	0.03831	44	0.08871	106	80	0.7547	8	0.07547	1	0.009434	4	0.03774	13	0.1226	 
axion-1.0-M2	122	111	0.9098	47	0.3852	80	0.7207	5	0.04505	26	0.2342	1	0.008197	0	0.	10	0.08197	108	76	0.7037	9	0.08333	4	0.03704	19	0.1759	13	11	0.8462	2	0.1538	0	0.	0	0.	0	0.	 
c_jdbc-2.0.2	460	360	0.7826	125	0.2717	201	0.5583	13	0.03611	146	0.4056	3	0.006522	0	0.	69	0.15	35	8	0.2286	5	0.1429	0	0.	22	0.6286	0	0	0	0	0	0	0	0	0	0	0	 
castor-1.3.3_codegen	93	92	0.9892	10	0.1075	76	0.8261	5	0.05435	11	0.1196	0	0.	0	0.	1	0.01075	22	10	0.4545	4	0.1818	1	0.04545	7	0.3182	0	0	0	0	0	0	0	0	0	0	0	 
castor-1.3.3_cpactf	223	182	0.8161	118	0.5291	93	0.5110	3	0.01648	86	0.4725	0	0.	0	0.	21	0.09417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 
castor-1.3.3_ddlgen	81	78	0.9630	10	0.1235	73	0.9359	0	0.	5	0.06410	0	0.	0	0.	3	0.03704	19	13	0.6842	1	0.05263	0	0.	5	0.2632	0	0	0	0	0	0	0	0	0	0	0	 
castor-1.3.3_jdo	374	262	0.7005	56	0.1497	238	0.9084	9	0.03435	15	0.05725	80	0.2139	2	0.005348	12	0.03209	94	57	0.6064	15	0.1596	1	0.01064	21	0.2234	13	12	0.9231	1	0.07692	0	0.	0	0.	0	0.	 
castor-1.3.3_testsuite-xml-framework	23	23	1.	0	0.	22	0.9565	1	0.04348	0	0.	0	0.	0	0.	0	0.	2	1	0.5	0	0.	1	0.5	0	0.	0	0	0	0	0	0	0	0	0	0	0	 
castor-1.3.3_xml	174	130	0.7471	84	0.4828	98	0.7538	9	0.06923	23	0.1769	18	0.1034	0	0.	12	0.06897	91	56	0.6154	3	0.03297	20	0.2198	12	0.1319	8	6	0.75	1	0.125	0	0.	1	0.125	0	0.	 
castor-1.3.3_xml-schema	88	80	0.9091	32	0.3636	75	0.9375	0	0.	5	0.0625	0	0.	0	0.	7	0.07955	14	10	0.7143	4	0.2857	0	0.	0	0.	0	0	0	0	0	0	0	0	0	0	0	 
cayenne-3.0.1	1633	1433	0.8775	501	0.3068	1103	0.7697	47	0.03280	283	0.1975	9	0.005511	3	0.001837	90	0.05511	476	328	0.6891	33	0.06933	47	0.09874	68	0.1429	10	9	0.9	1	0.1	0	0.	0	0.	0	0.	 
checkstyle-5.6	348	306	0.8793	119	0.3420	31	0.1013	6	0.01961	269	0.8791	6	0.01724	10	0.02874	4	0.01149	29	21	0.7241	4	0.1379	4	0.1379	0	0.	2	0	0.	0	0.	0	0.	0	0.	2	1.	 
cobertura-1.9.4.1	17	17	1.	0	0.	12	0.7059	0	0.	5	0.2941	0	0.	0	0.	0	0.	34	9	0.2647	24	0.7059	0	0.	1	0.02941	0	0	0	0	0	0	0	0	0	0	0	 
colt-1.2.0	164	136	0.8293	73	0.4451	111	0.8162	14	0.1029	11	0.08088	1	0.006098	0	0.	9	0.05488	31	17	0.5484	1	0.03226	6	0.1935	7	0.2258	3	0	0.	3	1.	0	0.	0	0.	0	0.	 
columba-1.0_addressbook	28	25	0.8929	6	0.2143	16	0.64	0	0.	9	0.36	0	0.	0	0.	0	0.	30	23	0.7667	0	0.	2	0.06667	5	0.1667	4	4	1.	0	0.	0	0.	0	0.	0	0.	 
columba-1.0_core	77	52	0.6753	9	0.1169	20	0.3846	6	0.1154	26	0.5	0	0.	0	0.	0	0.	15	8	0.5333	4	0.2667	0	0.	3	0.2	0	0	0	0	0	0	0	0	0	0	0	 
columba-1.0_mail	115	108	0.9391	27	0.2348	68	0.6296	1	0.009259	39	0.3611	5	0.04348	0	0.	0	0.	62	44	0.7097	3	0.04839	6	0.09677	9	0.1452	4	4	1.	0	0.	0	0.	0	0.	0	0.	 
derby-10.9.1.0	1426	1285	0.9011	338	0.2370	779	0.6062	33	0.02568	473	0.3681	29	0.02034	0	0.	59	0.04137	659	439	0.6662	78	0.1184	28	0.04249	114	0.1730	131	98	0.7481	15	0.1145	4	0.03053	2	0.01527	12	0.09160	 
displaytag-1.2	178	153	0.8596	143	0.8034	13	0.08497	7	0.04575	133	0.8693	0	0.	3	0.01685	5	0.02809	37	22	0.5946	0	0.	6	0.1622	9	0.2432	2	2	1.	0	0.	0	0.	0	0.	0	0.	 
drawswf-1.2.9	114	110	0.9649	45	0.3947	105	0.9545	1	0.009091	4	0.03636	0	0.	0	0.	0	0.	50	37	0.74	8	0.16	1	0.02	4	0.08	4	2	0.5	2	0.5	0	0.	0	0.	0	0.	 
emma-2.0.5312	76	71	0.9342	7	0.09211	65	0.9155	5	0.07042	1	0.01408	3	0.03947	0	0.	2	0.02632	79	35	0.4430	18	0.2278	4	0.05063	22	0.2785	16	8	0.5	8	0.5	0	0.	0	0.	0	0.	 
exoportal-v1.0.2	1050	672	0.64	391	0.3724	369	0.5491	49	0.07292	254	0.3780	6	0.005714	23	0.02190	86	0.08190	296	151	0.5101	20	0.06757	18	0.06081	107	0.3615	41	22	0.5366	10	0.2439	3	0.07317	1	0.02439	5	0.1220	 
