[
  <<|java+class:///org/jgroups/protocols/TCPGOSSIP|,|java+class:///org/jgroups/protocols/Discovery|>,<|project://JGroups/src/org/jgroups/protocols/TCPGOSSIP.java|(6090,146,<154,20>,<155,66>),|java+method:///org/jgroups/protocols/Discovery/down(org.jgroups.Event)|,|java+project:///|>>,
  <<|java+class:///org/jgroups/protocols/BasicTCP|,|java+class:///org/jgroups/protocols/TP|>,<|project://JGroups/src/org/jgroups/protocols/BasicTCP.java|(3966,48,<99,8>,<99,56>),|java+method:///org/jgroups/protocols/TP/sendToAllPhysicalAddresses(byte%5B%5D,int,int)|,|java+method:///org/jgroups/protocols/BasicTCP/sendUnicast(org.jgroups.PhysicalAddress,byte%5B%5D,int,int)|>>,
  <<|java+class:///org/jgroups/blocks/MultiRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/src/org/jgroups/blocks/MultiRequest.java|(5364,21,<158,12>,<158,33>),|java+method:///org/jgroups/blocks/Request/checkCompletion(java.util.concurrent.Future)|,|java+method:///org/jgroups/blocks/MultiRequest/responsesComplete()|>>,
  <<|java+class:///org/jgroups/blocks/MultiRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/src/org/jgroups/blocks/MultiRequest.java|(6365,21,<190,12>,<190,33>),|java+method:///org/jgroups/blocks/Request/checkCompletion(java.util.concurrent.Future)|,|java+method:///org/jgroups/blocks/MultiRequest/responsesComplete()|>>,
  <<|java+class:///org/jgroups/blocks/MultiRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/src/org/jgroups/blocks/MultiRequest.java|(8030,21,<239,12>,<239,33>),|java+method:///org/jgroups/blocks/Request/checkCompletion(java.util.concurrent.Future)|,|java+method:///org/jgroups/blocks/MultiRequest/responsesComplete()|>>,
  <<|java+class:///org/jgroups/blocks/MultiRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/src/org/jgroups/blocks/MultiRequest.java|(8503,17,<260,12>,<260,29>),|java+method:///org/jgroups/blocks/Request/waitForResults(long)|,|java+method:///org/jgroups/blocks/MultiRequest/responsesComplete()|>>,
  <<|java+class:///org/jgroups/blocks/MultiRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/src/org/jgroups/blocks/MultiRequest.java|(8813,38,<272,15>,<272,53>),|java+method:///org/jgroups/blocks/Request/waitForResults(long)|,|java+method:///org/jgroups/blocks/MultiRequest/responsesComplete()|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTableNIO|,|java+class:///org/jgroups/blocks/BasicConnectionTable|>,<|project://JGroups/src/org/jgroups/protocols/TCP_NIO.java|(2403,35,<66,6>,<66,41>),|java+method:///org/jgroups/blocks/BasicConnectionTable/send(org.jgroups.Address,byte%5B%5D,int,int)|,|java+method:///org/jgroups/blocks/ConnectionTableNIO/getConnection(org.jgroups.Address)|>>,
  <<|java+class:///org/jgroups/blocks/mux/MuxRpcDispatcher|,|java+class:///org/jgroups/blocks/MessageDispatcher|>,<|project://JGroups/src/org/jgroups/blocks/mux/MuxRpcDispatcher.java|(2380,13,<71,8>,<71,21>),|java+method:///org/jgroups/blocks/MessageDispatcher/start()|,|java+method:///org/jgroups/blocks/RpcDispatcher/correlatorStarted()|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTable|,|java+class:///org/jgroups/blocks/BasicConnectionTable|>,<|project://JGroups/tests/other/org/jgroups/tests/ConnectionTableDemo.java|(2209,35,<67,16>,<67,51>),|java+method:///org/jgroups/blocks/BasicConnectionTable/send(org.jgroups.Address,byte%5B%5D,int,int)|,|java+method:///org/jgroups/blocks/ConnectionTable/getConnection(org.jgroups.Address)|>>,
  <<|java+class:///org/jgroups/mux/MuxChannel|,|java+class:///org/jgroups/Channel|>,<|project://JGroups/src/org/jgroups/mux/MuxChannel.java|(5813,28,<185,16>,<185,44>),|java+method:///org/jgroups/Channel/notifyChannelConnected(org.jgroups.Channel)|,|java+method:///org/jgroups/JChannel/getLog()|>>,
