[
  <<|java+class:///org/jruby/RubyFile|,|java+interface:///org/jruby/runtime/encoding/EncodingCapable|>,|java+class:///org/jruby/RubyString|>,
  <<|java+class:///org/jruby/ir/instructions/MultipleAsgnBase|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ext/weakref/WeakRefLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ir/instructions/RescueEQQInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ext/psych/PsychLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ext/digest/MD5|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ir/instructions/NotInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ext/ffi/FFIService|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ast/ClassVarAsgnNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ir/instructions/SetReturnAddressInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ir/instructions/LoadLocalVarInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ast/ConstDeclNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ir/instructions/UndefMethodInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ast/DefnNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ir/instructions/MethodLookupInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ir/instructions/ToAryInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ir/instructions/YieldInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ir/instructions/ruby19/GetEncodingInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ir/instructions/defined/GetBackrefInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ext/iconv/IConvLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ext/strscan/StringScannerLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ir/instructions/ReceiveSelfInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
