[
  <<|java+class:///org/jruby/RubyClass|,|java+class:///org/jruby/RubyModule|>,210,|project://JRuby/src/org/jruby/ast/InstVarNode.java|(4068,14,<116,42>,<116,56>),|java+method:///org/jruby/RubyModule/hashCode()|>,
  <<|java+class:///org/jruby/ast/Node|,|java+interface:///org/jruby/lexer/yacc/ISourcePositionHolder|>,211,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(19753,15,<411,83>,<411,98>),|java+method:///java/lang/Object/getClass()|>,
  <<|java+class:///org/jruby/ast/ArrayNode|,|java+class:///org/jruby/ast/ListNode|>,210,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(21237,22,<450,42>,<450,64>),|java+method:///org/jruby/ast/ListNode/childNodes()|>,
  <<|java+class:///org/jruby/ast/BlockNode|,|java+class:///org/jruby/ast/ListNode|>,210,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(36381,17,<755,26>,<755,43>),|java+method:///org/jruby/ast/ListNode/childNodes()|>,
  <<|java+class:///org/jruby/ir/IRClosure|,|java+class:///org/jruby/ir/IRScope|>,210,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(39804,14,<827,25>,<827,39>),|java+field:///org/jruby/ir/IRScope/hasBreakInstrs|>,
  <<|java+class:///org/jruby/ast/ClassNode|,|java+class:///org/jruby/ast/Node|>,210,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(47375,23,<988,63>,<988,86>),|java+method:///org/jruby/ast/Node/getPosition()|>,
  <<|java+interface:///org/jruby/lexer/yacc/ISourcePosition|,|java+interface:///org/jruby/runtime/PositionAware|>,210,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(47375,33,<988,63>,<988,96>),|java+method:///org/jruby/runtime/PositionAware/getLine()|>,
  <<|java+class:///org/jruby/ir/IRClassBody|,|java+class:///org/jruby/ir/IRModuleBody|>,211,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(47727,11,<994,40>,<994,51>),|java+method:///org/jruby/ir/IRScope/getSelf()|>,
  <<|java+class:///org/jruby/ir/IRModuleBody|,|java+class:///org/jruby/ir/IRScope|>,211,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(47727,11,<994,40>,<994,51>),|java+method:///org/jruby/ir/IRScope/getSelf()|>,
  <<|java+class:///org/jruby/ir/IRClassBody|,|java+class:///org/jruby/ir/IRModuleBody|>,211,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(47695,45,<994,8>,<994,53>),|java+method:///org/jruby/ir/IRScope/addInstr(org.jruby.ir.instructions.Instr)|>,
  <<|java+class:///org/jruby/ir/IRModuleBody|,|java+class:///org/jruby/ir/IRScope|>,211,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(47695,45,<994,8>,<994,53>),|java+method:///org/jruby/ir/IRScope/addInstr(org.jruby.ir.instructions.Instr)|>,
  <<|java+class:///org/jruby/ir/IRClassBody|,|java+class:///org/jruby/ir/IRModuleBody|>,211,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(47854,27,<997,33>,<997,60>),|java+method:///org/jruby/ir/IRScope/getCurrentScopeVariable()|>,
  <<|java+class:///org/jruby/ir/IRModuleBody|,|java+class:///org/jruby/ir/IRScope|>,211,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(47854,27,<997,33>,<997,60>),|java+method:///org/jruby/ir/IRScope/getCurrentScopeVariable()|>,
  <<|java+class:///org/jruby/ir/IRClassBody|,|java+class:///org/jruby/ir/IRModuleBody|>,211,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(47829,75,<997,8>,<997,83>),|java+method:///org/jruby/ir/IRScope/addInstr(org.jruby.ir.instructions.Instr)|>,
