{
  <<|java+class:///org/apache/tools/ant/DirectoryScanner|,|java+interface:///org/apache/tools/ant/types/ResourceFactory|>,2,|java+interface:///org/apache/tools/ant/types/ResourceFactory|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Rmic|,|java+class:///org/apache/tools/ant/taskdefs/MatchingTask|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/zip/UnrecognizedExtraField|,|java+interface:///org/apache/tools/zip/CentralDirectoryParsingZipExtraField|>,2,|java+interface:///org/apache/tools/zip/ZipExtraField|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/perforce/P4Add|,|java+class:///org/apache/tools/ant/taskdefs/optional/perforce/P4Base|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/types/resources/JavaResource|,|java+class:///org/apache/tools/ant/types/resources/AbstractClasspathResource|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/types/resources/URLResource|,|java+class:///org/apache/tools/ant/types/Resource|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/types/selectors/PresentSelector|,|java+class:///org/apache/tools/ant/types/selectors/BaseSelector|>,2,|java+interface:///org/apache/tools/ant/types/selectors/FileSelector|>,
  <<|java+class:///org/apache/tools/ant/types/resources/Resources|,|java+class:///org/apache/tools/ant/types/DataType|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Move|,|java+class:///org/apache/tools/ant/taskdefs/Copy|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/types/resources/comparators/DelegatedResourceComparator|,|java+class:///org/apache/tools/ant/types/resources/comparators/ResourceComparator|>,2,|java+class:///org/apache/tools/ant/types/DataType|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/Cab|,|java+class:///org/apache/tools/ant/taskdefs/MatchingTask|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/dispatch/DispatchTask|,|java+class:///org/apache/tools/ant/Task|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/types/resources/MappedResourceCollection|,|java+class:///org/apache/tools/ant/types/DataType|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/types/optional/depend/ClassfileSet|,|java+class:///org/apache/tools/ant/types/FileSet|>,2,|java+class:///org/apache/tools/ant/types/DataType|>,
  <<|java+class:///org/apache/tools/ant/types/resources/Resources/MyCollection|,|java+class:///java/util/AbstractCollection|>,2,|java+interface:///java/util/Collection|>,
  <<|java+class:///org/apache/tools/ant/types/ZipFileSet|,|java+class:///org/apache/tools/ant/types/ArchiveFileSet|>,2,|java+class:///org/apache/tools/ant/types/DataType|>,
  <<|java+class:///org/apache/tools/ant/types/spi/Provider|,|java+class:///org/apache/tools/ant/ProjectComponent|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/filters/FixCrLfFilter/MaskJavaTabLiteralsFilter|,|java+class:///org/apache/tools/ant/filters/FixCrLfFilter/SimpleFilterReader|>,2,|java+class:///java/io/Reader|>,
  <<|java+class:///org/apache/tools/ant/types/ArchiveFileSet|,|java+class:///org/apache/tools/ant/types/FileSet|>,2,|java+class:///org/apache/tools/ant/types/FileSet|>,
  <<|java+class:///org/apache/tools/ant/types/resources/Restrict|,|java+interface:///org/apache/tools/ant/types/ResourceCollection|>,2,|java+interface:///org/apache/tools/ant/types/ResourceCollection|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/script/ScriptDef|,|java+class:///org/apache/tools/ant/taskdefs/DefBase|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/types/resources/AbstractClasspathResource|,|java+class:///org/apache/tools/ant/types/Resource|>,2,|java+class:///org/apache/tools/ant/types/Resource|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Definer|,|java+class:///org/apache/tools/ant/taskdefs/DefBase|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/types/selectors/BaseExtendSelector|,|java+interface:///org/apache/tools/ant/types/selectors/ExtendFileSelector|>,2,|java+interface:///org/apache/tools/ant/types/selectors/FileSelector|>,
  <<|java+class:///org/apache/tools/ant/util/KeepAliveInputStream|,|java+class:///java/io/FilterInputStream|>,2,|java+class:///java/io/InputStream|>,
  <<|java+class:///org/apache/tools/ant/types/resources/BaseResourceCollectionContainer|,|java+class:///org/apache/tools/ant/types/DataType|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/DefBase|,|java+class:///org/apache/tools/ant/taskdefs/AntlibDefinition|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/helper/ProjectHelperImpl/DataTypeHandler|,|java+class:///org/apache/tools/ant/helper/ProjectHelperImpl/AbstractHandler|>,2,|java+interface:///org/xml/sax/DocumentHandler|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/depend/AntAnalyzer|,|java+class:///org/apache/tools/ant/util/depend/AbstractAnalyzer|>,2,|java+interface:///org/apache/tools/ant/util/depend/DependencyAnalyzer|>,
  <<|java+class:///org/apache/tools/ant/helper/ProjectHelperImpl/AbstractHandler|,|java+class:///org/xml/sax/HandlerBase|>,2,|java+interface:///org/xml/sax/DocumentHandler|>,
  <<|java+class:///org/apache/tools/ant/helper/ProjectHelperImpl/RootHandler|,|java+class:///org/xml/sax/HandlerBase|>,2,|java+interface:///org/xml/sax/DocumentHandler|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/depend/constantpool/FieldRefCPInfo|,|java+class:///org/apache/tools/ant/taskdefs/optional/depend/constantpool/ConstantPoolEntry|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/junit/BatchTest|,|java+class:///org/apache/tools/ant/taskdefs/optional/junit/BaseTest|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/types/TarFileSet|,|java+class:///org/apache/tools/ant/types/ArchiveFileSet|>,2,|java+class:///org/apache/tools/ant/types/FileSet|>,
  <<|java+class:///org/apache/tools/ant/types/RedirectorElement|,|java+class:///org/apache/tools/ant/types/DataType|>,2,|java+class:///java/lang/Object|>,
