{
  <<|java+class:///org/exolab/javasource/AbstractJField|,|java+interface:///org/exolab/javasource/JMember|>,2,|java+interface:///org/exolab/javasource/JMember|>,
  <<|java+class:///org/exolab/castor/builder/types/XSDateTime|,|java+class:///org/exolab/castor/builder/types/AbstractRangeFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/descriptors/PackageTypeDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/types/XSLong|,|java+class:///org/exolab/castor/builder/types/AbstractDigitsFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/javasource/JEnum|,|java+class:///org/exolab/javasource/JClass|>,2,|java+class:///org/exolab/javasource/JType|>,
  <<|java+class:///org/exolab/castor/builder/types/XSNonNegativeInteger|,|java+class:///org/exolab/castor/builder/types/AbstractDigitsFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/javasource/JField|,|java+class:///org/exolab/javasource/AbstractJField|>,2,|java+interface:///org/exolab/javasource/JMember|>,
  <<|java+class:///org/exolab/castor/builder/factory/CollectionJ2NoIndexMemberAndAccessorFactory|,|java+class:///org/exolab/castor/builder/factory/CollectionJ2MemberAndAccessorFactory|>,2,|java+class:///org/exolab/castor/builder/factory/FieldMemberAndAccessorFactory|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/descriptors/ExcludeDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/types/AbstractPatternFacet|,|java+class:///org/exolab/castor/builder/types/XSType|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/types/XSIdRefs|,|java+class:///org/exolab/castor/builder/types/XSListType|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/types/XSList|,|java+class:///org/exolab/castor/builder/types/XSListType|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/javasource/AbstractJClass|,|java+class:///org/exolab/javasource/JStructure|>,2,|java+class:///org/exolab/javasource/JType|>,
  <<|java+class:///org/exolab/javasource/JConstant|,|java+class:///org/exolab/javasource/AbstractJField|>,2,|java+interface:///org/exolab/javasource/JMember|>,
  <<|java+class:///org/exolab/castor/builder/types/XSUnsignedInt|,|java+class:///org/exolab/castor/builder/types/AbstractDigitsFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/descriptors/InterfaceDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/factory/CollectionMemberAndAccessorFactory|,|java+class:///org/exolab/castor/builder/factory/FieldMemberAndAccessorFactory|>,2,|java+class:///org/exolab/castor/builder/factory/FieldMemberAndAccessorFactory|>,
  <<|java+class:///org/exolab/castor/builder/info/CollectionInfoJ2SortedSet|,|java+class:///org/exolab/castor/builder/info/CollectionInfoJ2|>,2,|java+class:///org/exolab/castor/builder/info/CollectionInfo|>,
  <<|java+class:///org/exolab/javasource/JClass|,|java+class:///org/exolab/javasource/AbstractJClass|>,2,|java+class:///org/exolab/javasource/JStructure|>,
  <<|java+class:///org/exolab/castor/builder/types/XSUnsignedByte|,|java+class:///org/exolab/castor/builder/types/AbstractDigitsFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/javasource/AbstractJClass|,|java+class:///org/exolab/javasource/JStructure|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/exolab/castor/builder/types/XSGMonthDay|,|java+class:///org/exolab/castor/builder/types/AbstractRangeFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/descriptors/ComponentBindingTypeChoiceDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/types/XSShort|,|java+class:///org/exolab/castor/builder/types/AbstractDigitsFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/javasource/JConstant|,|java+class:///org/exolab/javasource/AbstractJField|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/types/descriptors/FieldTypeCollectionTypeDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/descriptors/NamingTypeDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/util/ClassInfoResolverImpl|,|java+interface:///org/exolab/castor/builder/ClassInfoResolver|>,2,|java+interface:///org/exolab/castor/builder/ClassInfoResolver|>,
  <<|java+class:///org/exolab/castor/builder/types/XSGYear|,|java+class:///org/exolab/castor/builder/types/AbstractRangeFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/descriptors/ComponentBindingTypeDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/types/descriptors/VisibilityTypeDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/info/CollectionInfoJ2Set|,|java+class:///org/exolab/castor/builder/info/CollectionInfoJ2|>,2,|java+class:///org/exolab/castor/builder/info/CollectionInfo|>,
  <<|java+class:///org/exolab/castor/builder/types/XSInteger|,|java+class:///org/exolab/castor/builder/types/AbstractDigitsFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/types/AbstractRangeFacet|,|java+class:///org/exolab/castor/builder/types/AbstractWhiteSpaceFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/javasource/JField|,|java+class:///org/exolab/javasource/AbstractJField|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/descriptors/FieldTypeDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/javasource/JClass|,|java+class:///org/exolab/javasource/AbstractJClass|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/exolab/castor/builder/types/XSNMToken|,|java+class:///org/exolab/castor/builder/types/AbstractLengthFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/descriptors/ClassTypeDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/types/XSInt|,|java+class:///org/exolab/castor/builder/types/AbstractDigitsFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/javasource/JComponentizedType|,|java+class:///org/exolab/javasource/JType|>,2,|java+class:///org/exolab/javasource/JType|>,
  <<|java+class:///org/exolab/castor/builder/types/XSIdRef|,|java+class:///org/exolab/castor/builder/types/AbstractLengthFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/types/XSTime|,|java+class:///org/exolab/castor/builder/types/AbstractRangeFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/types/AbstractDigitsFacet|,|java+class:///org/exolab/castor/builder/types/AbstractRangeFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/types/XSId|,|java+class:///org/exolab/castor/builder/types/AbstractLengthFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/types/XSDate|,|java+class:///org/exolab/castor/builder/types/AbstractRangeFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/types/XSDecimal|,|java+class:///org/exolab/castor/builder/types/AbstractDigitsFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/types/XSNonPositiveInteger|,|java+class:///org/exolab/castor/builder/types/AbstractDigitsFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/descriptors/EnumMemberDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/factory/CollectionJ2MemberAndAccessorFactory|,|java+class:///org/exolab/castor/builder/factory/CollectionMemberAndAccessorFactory|>,2,|java+class:///org/exolab/castor/builder/factory/FieldMemberAndAccessorFactory|>,
  <<|java+class:///org/exolab/castor/builder/info/CollectionInfo|,|java+class:///org/exolab/castor/builder/info/FieldInfo|>,2,|java+interface:///org/castor/core/nature/PropertyHolder|>,
  <<|java+class:///org/exolab/castor/builder/info/IdentityInfo|,|java+class:///org/exolab/castor/builder/info/FieldInfo|>,2,|java+interface:///org/castor/core/nature/PropertyHolder|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/descriptors/ExcludesDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/types/XSNCName|,|java+class:///org/exolab/castor/builder/types/AbstractLengthFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
