[
  <<|java+class:///org/exolab/javasource/JClass|,|java+class:///org/exolab/javasource/JStructure|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/printing/WriterJClassPrinter.java|(1677,38,<47,8>,<47,46>),|java+method:///org/exolab/javasource/JStructure/print(java.lang.String,java.lang.String)|,|java+method:///org/exolab/javasource/AbstractJClass/print(org.exolab.javasource.JSourceWriter)|>>,
  <<|java+class:///org/exolab/javasource/JInterface|,|java+class:///org/exolab/javasource/JStructure|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/javasource/JInterface.java|(6676,34,<178,8>,<178,42>),|java+method:///org/exolab/javasource/JStructure/addImport(org.exolab.javasource.JAnnotation%5B%5D)|,|java+method:///org/exolab/javasource/JInterface/addImport(java.lang.String)|>>,
  <<|java+class:///org/exolab/javasource/JInterface|,|java+class:///org/exolab/javasource/JStructure|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/javasource/JInterface.java|(10312,38,<277,8>,<277,46>),|java+method:///org/exolab/javasource/JStructure/addImport(org.exolab.javasource.JAnnotation%5B%5D)|,|java+method:///org/exolab/javasource/JInterface/addImport(java.lang.String)|>>,
  <<|java+class:///org/exolab/javasource/JInterface|,|java+class:///org/exolab/javasource/JStructure|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/javasource/JInterface.java|(10475,37,<280,12>,<280,49>),|java+method:///org/exolab/javasource/JStructure/addImport(org.exolab.javasource.JAnnotation%5B%5D)|,|java+method:///org/exolab/javasource/JInterface/addImport(java.lang.String)|>>,
  <<|java+class:///org/exolab/castor/builder/info/CollectionInfo|,|java+class:///org/exolab/castor/builder/info/FieldInfo|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/factory/CollectionMemberAndAccessorFactory.java|(3229,30,<81,37>,<81,67>),|java+method:///org/exolab/castor/builder/info/FieldInfo/getWriteMethodName()|,|java+method:///org/exolab/castor/builder/info/CollectionInfo/getMethodSuffix()|>>,
  <<|java+class:///org/exolab/castor/builder/info/CollectionInfo|,|java+class:///org/exolab/castor/builder/info/FieldInfo|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/factory/CollectionMemberAndAccessorFactory.java|(6924,29,<170,37>,<170,66>),|java+method:///org/exolab/castor/builder/info/FieldInfo/getReadMethodName()|,|java+method:///org/exolab/castor/builder/info/CollectionInfo/getMethodSuffix()|>>,
  <<|java+class:///org/exolab/castor/builder/info/CollectionInfo|,|java+class:///org/exolab/castor/builder/info/FieldInfo|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/factory/CollectionMemberAndAccessorFactory.java|(10715,29,<255,37>,<255,66>),|java+method:///org/exolab/castor/builder/info/FieldInfo/getReadMethodName()|,|java+method:///org/exolab/castor/builder/info/CollectionInfo/getMethodSuffix()|>>,
  <<|java+class:///org/exolab/castor/builder/info/CollectionInfo|,|java+class:///org/exolab/castor/builder/info/FieldInfo|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/factory/CollectionMemberAndAccessorFactory.java|(11943,29,<286,37>,<286,66>),|java+method:///org/exolab/castor/builder/info/FieldInfo/getReadMethodName()|,|java+method:///org/exolab/castor/builder/info/CollectionInfo/getMethodSuffix()|>>,
  <<|java+class:///org/exolab/castor/builder/info/CollectionInfo|,|java+class:///org/exolab/castor/builder/info/FieldInfo|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/factory/CollectionMemberAndAccessorFactory.java|(15189,29,<366,37>,<366,66>),|java+method:///org/exolab/castor/builder/info/FieldInfo/getReadMethodName()|,|java+method:///org/exolab/castor/builder/info/CollectionInfo/getMethodSuffix()|>>,
  <<|java+class:///org/exolab/castor/builder/info/CollectionInfo|,|java+class:///org/exolab/castor/builder/info/FieldInfo|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/factory/CollectionMemberAndAccessorFactory.java|(16712,30,<402,37>,<402,67>),|java+method:///org/exolab/castor/builder/info/FieldInfo/getWriteMethodName()|,|java+method:///org/exolab/castor/builder/info/CollectionInfo/getMethodSuffix()|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSNMToken|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(9378,31,<207,16>,<207,47>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractLengthFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSByte|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(10298,28,<222,20>,<222,48>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractDigitsFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSDate|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(10567,28,<228,20>,<228,48>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractRangeFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
