[
  <<|java+class:///org/castor/ddlgen/engine/mysql/MysqlTypeMapper|,|java+interface:///org/castor/ddlgen/TypeMapper|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/mysql/MysqlGenerator.java|(2203,54,<63,8>,<63,62>)>,
  <<|java+class:///org/castor/ddlgen/engine/mysql/MysqlSchemaFactory|,|java+interface:///org/castor/ddlgen/SchemaFactory|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/mysql/MysqlGenerator.java|(2268,42,<64,8>,<64,50>)>,
  <<|java+class:///org/castor/ddlgen/DDLGenConfiguration|,|java+class:///org/castor/ddlgen/Configuration|>,202,|java+variable:///org/castor/ddlgen/engine/mysql/MysqlGenerator/generateHeader(org.castor.ddlgen.DDLWriter)/conf|>,
  <<|java+class:///org/castor/ddlgen/engine/db2/Db2Field|,|java+class:///org/castor/ddlgen/schemaobject/Field|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2Field.java|(1467,21,<40,21>,<40,42>)>,
  <<|java+class:///org/castor/ddlgen/engine/pointbase/PointBaseField|,|java+class:///org/castor/ddlgen/schemaobject/Field|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/pointbase/PointBaseField.java|(1485,21,<40,21>,<40,42>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Configuration.java|(2988,18,<86,12>,<86,30>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Configuration.java|(3062,19,<90,12>,<90,31>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Configuration.java|(3878,18,<117,12>,<117,30>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Configuration.java|(3952,19,<121,12>,<121,31>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Configuration.java|(5130,14,<157,32>,<157,46>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,203,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Configuration.java|(5121,23,<157,23>,<157,46>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Configuration.java|(5176,16,<158,29>,<158,45>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Configuration.java|(5740,14,<174,32>,<174,46>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,203,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Configuration.java|(5731,23,<174,23>,<174,46>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Configuration.java|(5786,16,<175,29>,<175,45>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Configuration.java|(7308,14,<220,16>,<220,30>)>,
  <<|java+class:///java/io/IOException|,|java+class:///java/lang/Exception|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Configuration.java|(7622,31,<227,18>,<227,49>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(2524,44,<64,8>,<64,52>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NotSupportedType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(2579,37,<65,8>,<65,45>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(2627,67,<66,8>,<66,75>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(2705,48,<67,8>,<67,56>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(2764,49,<68,8>,<68,57>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(2824,47,<69,8>,<69,55>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(2882,43,<70,8>,<70,51>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(2936,45,<71,8>,<71,53>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/RequiredPrecisionType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3002,59,<73,8>,<73,67>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3072,45,<74,8>,<74,53>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3128,41,<75,8>,<75,49>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/OptionalPrecisionDecimalsType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(3180,71,<76,8>,<76,79>)>,
