[
  <<|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/SchemaDifferencesDescriptor|,|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/SchemaDifferencesTypeDescriptor|>,220,<|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/SchemaDifferencesTypeDescriptor/getIdentity()|,|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/SchemaDifferencesDescriptor/getIdentity()|>>,
  <<|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/ListenerDescriptor|,|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/ListenerTypeDescriptor|>,220,<|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/ListenerTypeDescriptor/getIdentity()|,|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/ListenerDescriptor/getIdentity()|>>,
  <<|java+class:///org/castor/xmlctf/SchemaTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_failure|,|java+method:///org/castor/xmlctf/SchemaTestCase/testWritingSchema(java.lang.String,org.exolab.castor.xml.schema.Schema)|>>,
  <<|java+class:///org/castor/xmlctf/SchemaTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/verbose(java.lang.String)|,|java+method:///org/castor/xmlctf/SchemaTestCase/testWritingSchema(java.lang.String,org.exolab.castor.xml.schema.Schema)|>>,
  <<|java+class:///org/castor/xmlctf/SchemaTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_outputRootFile|,|java+method:///org/castor/xmlctf/SchemaTestCase/testWritingSchema(java.lang.String,org.exolab.castor.xml.schema.Schema)|>>,
  <<|java+class:///org/castor/xmlctf/SchemaTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/checkExceptionWasExpected(java.lang.Exception,org.exolab.castor.tests.framework.testDescriptor.types.FailureStepType)|,|java+method:///org/castor/xmlctf/SchemaTestCase/testWritingSchema(java.lang.String,org.exolab.castor.xml.schema.Schema)|>>,
  <<|java+class:///org/castor/xmlctf/SchemaTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_failure|,|java+method:///org/castor/xmlctf/SchemaTestCase/compareSchemaFiles(java.io.File)|>>,
  <<|java+class:///org/castor/xmlctf/SchemaTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/verbose(java.lang.String)|,|java+method:///org/castor/xmlctf/SchemaTestCase/compareSchemaFiles(java.io.File)|>>,
  <<|java+class:///org/castor/xmlctf/SchemaTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_outputRootFile|,|java+method:///org/castor/xmlctf/SchemaTestCase/compareSchemaFiles(java.io.File)|>>,
  <<|java+class:///org/castor/xmlctf/SchemaTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_failure|,|java+method:///org/castor/xmlctf/SchemaTestCase/testReadingSchema(java.lang.String)|>>,
  <<|java+class:///org/castor/xmlctf/SchemaTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/verbose(java.lang.String)|,|java+method:///org/castor/xmlctf/SchemaTestCase/testReadingSchema(java.lang.String)|>>,
