[
  <<|java+class:///org/exolab/castor/xml/schema/AttributeDecl|,|java+class:///org/exolab/castor/xml/schema/Annotated|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/AttributeUnmarshaller.java|(9433,29,<272,12>,<272,41>),|java+method:///org/exolab/castor/xml/schema/Annotated/addAnnotation(org.exolab.castor.xml.schema.Annotation)|>,
  <<|java+class:///org/exolab/castor/xml/schema/ElementDecl|,|java+class:///org/exolab/castor/xml/schema/Particle|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ElementUnmarshaller.java|(8107,32,<223,12>,<223,44>),|java+method:///org/exolab/castor/xml/schema/Particle/setMinOccurs(int)|>,
  <<|java+class:///org/exolab/castor/xml/schema/ElementDecl|,|java+class:///org/exolab/castor/xml/schema/Particle|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ElementUnmarshaller.java|(8604,32,<236,12>,<236,44>),|java+method:///org/exolab/castor/xml/schema/Particle/setMaxOccurs(int)|>,
  <<|java+class:///org/exolab/castor/xml/schema/ElementDecl|,|java+class:///org/exolab/castor/xml/schema/Particle|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ElementUnmarshaller.java|(8686,32,<238,12>,<238,44>),|java+method:///org/exolab/castor/xml/schema/Particle/setMaxOccurs(int)|>,
  <<|java+class:///org/exolab/castor/xml/schema/ElementDecl|,|java+class:///org/exolab/castor/xml/schema/Particle|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ElementUnmarshaller.java|(14338,27,<393,12>,<393,39>),|java+method:///org/exolab/castor/xml/schema/Annotated/addAnnotation(org.exolab.castor.xml.schema.Annotation)|>,
  <<|java+class:///org/exolab/castor/xml/schema/Particle|,|java+class:///org/exolab/castor/xml/schema/Annotated|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ElementUnmarshaller.java|(14338,27,<393,12>,<393,39>),|java+method:///org/exolab/castor/xml/schema/Annotated/addAnnotation(org.exolab.castor.xml.schema.Annotation)|>,
  <<|java+class:///org/exolab/castor/xml/schema/Particle|,|java+class:///org/exolab/castor/xml/schema/Annotated|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/Group.java|(5755,27,<172,16>,<172,43>),|java+method:///org/exolab/castor/xml/schema/Structure/getStructureType()|>,
  <<|java+class:///org/exolab/castor/xml/schema/Annotated|,|java+class:///org/exolab/castor/xml/schema/Structure|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/Group.java|(5755,27,<172,16>,<172,43>),|java+method:///org/exolab/castor/xml/schema/Structure/getStructureType()|>,
  <<|java+class:///org/exolab/castor/xml/schema/ModelGroup|,|java+class:///org/exolab/castor/xml/schema/Group|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/Group.java|(10006,21,<314,8>,<314,29>),|java+method:///org/exolab/castor/xml/schema/Group/setParent(org.exolab.castor.xml.schema.Structure)|>,
  <<|java+class:///org/exolab/castor/xml/schema/ModelGroup|,|java+class:///org/exolab/castor/xml/schema/Group|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/Group.java|(10327,21,<324,8>,<324,29>),|java+method:///org/exolab/castor/xml/schema/Group/setParent(org.exolab.castor.xml.schema.Structure)|>,
  <<|java+class:///org/exolab/castor/xml/schema/Particle|,|java+class:///org/exolab/castor/xml/schema/Annotated|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/Group.java|(10782,27,<338,16>,<338,43>),|java+method:///org/exolab/castor/xml/schema/Structure/getStructureType()|>,
  <<|java+class:///org/exolab/castor/xml/schema/Annotated|,|java+class:///org/exolab/castor/xml/schema/Structure|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/Group.java|(10782,27,<338,16>,<338,43>),|java+method:///org/exolab/castor/xml/schema/Structure/getStructureType()|>,
  <<|java+class:///org/exolab/castor/xml/schema/Particle|,|java+class:///org/exolab/castor/xml/schema/Annotated|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/Group.java|(11868,27,<367,16>,<367,43>),|java+method:///org/exolab/castor/xml/schema/Structure/getStructureType()|>,
  <<|java+class:///org/exolab/castor/xml/schema/Annotated|,|java+class:///org/exolab/castor/xml/schema/Structure|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/Group.java|(11868,27,<367,16>,<367,43>),|java+method:///org/exolab/castor/xml/schema/Structure/getStructureType()|>,
  <<|java+class:///org/exolab/castor/xml/schema/Particle|,|java+class:///org/exolab/castor/xml/schema/Annotated|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/Group.java|(12561,27,<386,16>,<386,43>),|java+method:///org/exolab/castor/xml/schema/Structure/getStructureType()|>,
  <<|java+class:///org/exolab/castor/xml/schema/Annotated|,|java+class:///org/exolab/castor/xml/schema/Structure|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/Group.java|(12561,27,<386,16>,<386,43>),|java+method:///org/exolab/castor/xml/schema/Structure/getStructureType()|>,
  <<|java+class:///org/exolab/castor/xml/schema/Schema|,|java+class:///org/exolab/castor/xml/schema/Annotated|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/SchemaUnmarshaller.java|(25986,61,<695,12>,<695,73>),|java+method:///org/exolab/castor/xml/schema/Annotated/addAnnotation(org.exolab.castor.xml.schema.Annotation)|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/SchemaUnmarshaller.java|(26992,21,<714,16>,<714,37>),|java+method:///org/exolab/castor/xml/schema/XMLType/getName()|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ExtensionUnmarshaller.java|(4517,23,<118,23>,<118,46>),|java+method:///org/exolab/castor/xml/schema/XMLType/getSchema()|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ExtensionUnmarshaller.java|(4553,55,<120,8>,<120,63>),|java+method:///org/exolab/castor/xml/schema/XMLType/setDerivationMethod(java.lang.String)|>,
  <<|java+class:///org/exolab/castor/xml/schema/SchemaException|,|java+class:///org/exolab/castor/xml/XMLException|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ExtensionUnmarshaller.java|(12122,14,<318,51>,<318,65>),|java+method:///java/lang/Throwable/getMessage()|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ExtensionUnmarshaller.java|(13399,31,<350,12>,<350,43>),|java+method:///org/exolab/castor/xml/schema/Annotated/addAnnotation(org.exolab.castor.xml.schema.Annotation)|>,
  <<|java+class:///org/exolab/castor/xml/schema/XMLType|,|java+class:///org/exolab/castor/xml/schema/Annotated|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ExtensionUnmarshaller.java|(13399,31,<350,12>,<350,43>),|java+method:///org/exolab/castor/xml/schema/Annotated/addAnnotation(org.exolab.castor.xml.schema.Annotation)|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/test/java/org/castor/xml/schema/complexType/ComplexTypeTest.java|(6779,48,<207,8>,<207,56>),|java+method:///org/exolab/castor/xml/schema/XMLType/setDerivationMethod(java.lang.String)|>,
  <<|java+class:///org/exolab/castor/xml/schema/Group|,|java+class:///org/exolab/castor/xml/schema/Particle|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/GroupUnmarshaller.java|(6062,23,<174,16>,<174,39>),|java+method:///org/exolab/castor/xml/schema/Particle/setMaxOccurs(int)|>,
  <<|java+class:///org/exolab/castor/xml/schema/Group|,|java+class:///org/exolab/castor/xml/schema/Particle|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/GroupUnmarshaller.java|(6122,36,<176,16>,<176,52>),|java+method:///org/exolab/castor/xml/schema/Particle/setMaxOccurs(int)|>,
  <<|java+class:///org/exolab/castor/xml/schema/Group|,|java+class:///org/exolab/castor/xml/schema/Particle|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/GroupUnmarshaller.java|(6287,36,<181,12>,<181,48>),|java+method:///org/exolab/castor/xml/schema/Particle/setMinOccurs(int)|>,
  <<|java+class:///org/exolab/castor/xml/schema/Group|,|java+class:///org/exolab/castor/xml/schema/Particle|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/GroupUnmarshaller.java|(6391,21,<184,16>,<184,37>),|java+method:///org/exolab/castor/xml/schema/Particle/getMaxOccurs()|>,
  <<|java+class:///org/exolab/castor/xml/schema/Group|,|java+class:///org/exolab/castor/xml/schema/Particle|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/GroupUnmarshaller.java|(6487,21,<185,65>,<185,86>),|java+method:///org/exolab/castor/xml/schema/Particle/getMaxOccurs()|>,
  <<|java+class:///org/exolab/castor/xml/schema/Group|,|java+class:///org/exolab/castor/xml/schema/Particle|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/GroupUnmarshaller.java|(6657,21,<189,16>,<189,37>),|java+method:///org/exolab/castor/xml/schema/Particle/getMinOccurs()|>,
