[
  <<|java+interface:///org/exolab/castor/xml/XMLClassDescriptorResolver|,|java+interface:///org/exolab/castor/xml/ClassDescriptorResolver|>,210,|project://castor-1.3.3_xml/src/main/java/org/exolab/castor/xml/Validator.java|(5286,63,<132,49>,<132,112>),|java+method:///org/exolab/castor/xml/ClassDescriptorResolver/resolve(java.lang.Class)|>,
  <<|java+interface:///org/exolab/castor/xml/XMLClassDescriptor|,|java+interface:///org/exolab/castor/mapping/ClassDescriptor|>,210,|project://castor-1.3.3_xml/src/main/java/org/exolab/castor/xml/Validator.java|(5968,21,<151,43>,<151,64>),|java+method:///org/exolab/castor/mapping/ClassDescriptor/getFields()|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/QueryHintDescriptor.java|(1776,23,<70,8>,<70,31>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setImmutable(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/QueryHintDescriptor.java|(2852,24,<97,8>,<97,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/QueryHintDescriptor.java|(2886,22,<98,8>,<98,30>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setRequired(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/QueryHintDescriptor.java|(2918,26,<99,8>,<99,34>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/QueryHintDescriptor.java|(3662,23,<114,8>,<114,31>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setImmutable(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/QueryHintDescriptor.java|(4740,24,<141,8>,<141,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/QueryHintDescriptor.java|(4774,22,<142,8>,<142,30>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setRequired(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/QueryHintDescriptor.java|(4806,26,<143,8>,<143,34>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+interface:///org/castor/xml/InternalContext|,|java+interface:///org/castor/xml/PropertyChangeProvider|>,210,|project://castor-1.3.3_xml/src/main/java/org/exolab/castor/xml/Introspector.java|(7996,56,<226,16>,<226,72>),|java+method:///org/castor/xml/PropertyChangeProvider/removePropertyChangeListener(java.beans.PropertyChangeListener)|>,
