[
  <<|java+class:///org/apache/cayenne/modeler/action/ValidateAction|,|java+class:///org/apache/cayenne/modeler/util/CayenneAction|>,220,<|java+method:///org/apache/cayenne/modeler/util/CayenneAction/getCurrentProject()|,|java+method:///org/apache/cayenne/modeler/action/ValidateAction/performAction(java.awt.event.ActionEvent)|>>,
  <<|java+class:///org/apache/cayenne/access/DataContextJoinAliasesTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/deleteTestData()|,|java+method:///org/apache/cayenne/access/DataContextJoinAliasesTest/setUp()|>>,
  <<|java+class:///org/apache/cayenne/access/DataContextJoinAliasesTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/createDataContext()|,|java+method:///org/apache/cayenne/access/DataContextJoinAliasesTest/testMatchAll()|>>,
  <<|java+class:///org/apache/cayenne/access/DataContextJoinAliasesTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/createTestData(java.lang.String,java.util.Map)|,|java+method:///org/apache/cayenne/access/DataContextJoinAliasesTest/testMatchAll()|>>,
  <<|java+class:///org/apache/cayenne/jpa/conf/MemberAnnotationProcessorFactory/JoinColumnsProcessor|,|java+class:///org/apache/cayenne/jpa/conf/MemberAnnotationProcessorFactory/L2Processor|>,220,<|java+method:///org/apache/cayenne/jpa/conf/MemberAnnotationProcessorFactory/L2Processor/onAttribute(org.apache.cayenne.jpa.map.JpaAttribute,java.lang.reflect.AnnotatedElement,org.apache.cayenne.jpa.conf.AnnotationProcessorStack)|,|java+method:///org/apache/cayenne/jpa/conf/MemberAnnotationProcessorFactory/JoinColumnsProcessor/onAttribute(org.apache.cayenne.jpa.map.JpaAttribute,java.lang.reflect.AnnotatedElement,org.apache.cayenne.jpa.conf.AnnotationProcessorStack)|>>,
  <<|java+class:///org/apache/art/auto/_LongEntity|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/readProperty(java.lang.String)|,|java+method:///org/apache/art/auto/_LongEntity/getLongField()|>>,
  <<|java+class:///org/apache/art/auto/_LongEntity|,|java+class:///org/apache/cayenne/CayenneDataObject|>,220,<|java+method:///org/apache/cayenne/CayenneDataObject/writeProperty(java.lang.String,java.lang.Object)|,|java+method:///org/apache/art/auto/_LongEntity/setLongField(java.lang.Long)|>>,
  <<|java+class:///org/apache/cayenne/jpa/conf/EntityMapDefaultsProcessor/EmbeddableBasicVisitor|,|java+class:///org/apache/cayenne/util/BaseTreeVisitor|>,220,<|java+method:///org/apache/cayenne/util/BaseTreeVisitor/addChildVisitor(java.lang.Class,org.apache.cayenne.util.HierarchicalTreeVisitor)|,|java+constructor:///org/apache/cayenne/jpa/conf/EntityMapDefaultsProcessor/EmbeddableBasicVisitor/EmbeddableBasicVisitor()|>>,
  <<|java+class:///org/apache/cayenne/modeler/action/CreateAttributeAction|,|java+class:///org/apache/cayenne/modeler/util/CayenneAction|>,220,<|java+method:///org/apache/cayenne/modeler/util/CayenneAction/getProjectController()|,|java+method:///org/apache/cayenne/modeler/action/CreateAttributeAction/performAction(java.awt.event.ActionEvent)|>>,
  <<|java+class:///org/apache/cayenne/modeler/action/CreateAttributeAction|,|java+class:///org/apache/cayenne/modeler/util/CayenneAction|>,220,<|java+field:///org/apache/cayenne/modeler/util/CayenneAction/application|,|java+method:///org/apache/cayenne/modeler/action/CreateAttributeAction/performAction(java.awt.event.ActionEvent)|>>,
  <<|java+class:///org/apache/cayenne/modeler/action/CreateAttributeAction|,|java+class:///org/apache/cayenne/modeler/util/CayenneAction|>,220,<|java+method:///org/apache/cayenne/modeler/util/CayenneAction/getProjectController()|,|java+method:///org/apache/cayenne/modeler/action/CreateAttributeAction/createDbAttribute(org.apache.cayenne.access.DataDomain,org.apache.cayenne.map.DataMap,org.apache.cayenne.map.DbEntity,org.apache.cayenne.map.DbAttribute)|>>,
  <<|java+class:///org/apache/cayenne/modeler/action/CreateAttributeAction|,|java+class:///org/apache/cayenne/modeler/util/CayenneAction|>,220,<|java+method:///org/apache/cayenne/modeler/util/CayenneAction/getProjectController()|,|java+method:///org/apache/cayenne/modeler/action/CreateAttributeAction/createEmbAttribute(org.apache.cayenne.map.Embeddable,org.apache.cayenne.map.EmbeddableAttribute)|>>,
  <<|java+class:///org/apache/cayenne/modeler/action/CreateAttributeAction|,|java+class:///org/apache/cayenne/modeler/util/CayenneAction|>,220,<|java+method:///org/apache/cayenne/modeler/util/CayenneAction/getProjectController()|,|java+method:///org/apache/cayenne/modeler/action/CreateAttributeAction/createObjAttribute(org.apache.cayenne.access.DataDomain,org.apache.cayenne.map.DataMap,org.apache.cayenne.map.ObjEntity,org.apache.cayenne.map.ObjAttribute)|>>,
