[
  <<|java+class:///edu/umd/cs/findbugs/ba/bcp/IfNull|,|java+class:///edu/umd/cs/findbugs/ba/bcp/OneVariableInstruction|>,220,<|java+method:///edu/umd/cs/findbugs/ba/bcp/OneVariableInstruction/addOrCheckDefinition(edu.umd.cs.findbugs.ba.bcp.Variable,edu.umd.cs.findbugs.ba.bcp.BindingSet)|,|java+method:///edu/umd/cs/findbugs/ba/bcp/IfNull/match(org.apache.bcel.generic.InstructionHandle,org.apache.bcel.generic.ConstantPoolGen,edu.umd.cs.findbugs.ba.vna.ValueNumberFrame,edu.umd.cs.findbugs.ba.vna.ValueNumberFrame,edu.umd.cs.findbugs.ba.bcp.BindingSet)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/StreamFrameModelingVisitor|,|java+class:///edu/umd/cs/findbugs/ba/AbstractFrameModelingVisitor|>,220,<|java+method:///edu/umd/cs/findbugs/ba/AbstractFrameModelingVisitor/getCPG()|,|java+method:///edu/umd/cs/findbugs/detect/StreamFrameModelingVisitor/instanceEscapes(org.apache.bcel.generic.InvokeInstruction,int)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/StreamFrameModelingVisitor|,|java+class:///edu/umd/cs/findbugs/ba/AbstractFrameModelingVisitor|>,220,<|java+method:///edu/umd/cs/findbugs/ba/AbstractFrameModelingVisitor/getCPG()|,|java+method:///edu/umd/cs/findbugs/detect/StreamFrameModelingVisitor/transferInstruction(org.apache.bcel.generic.InstructionHandle,edu.umd.cs.findbugs.ba.BasicBlock)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/StreamFrameModelingVisitor|,|java+class:///edu/umd/cs/findbugs/ba/AbstractFrameModelingVisitor|>,220,<|java+method:///edu/umd/cs/findbugs/ba/AbstractFrameModelingVisitor/getFrame()|,|java+method:///edu/umd/cs/findbugs/detect/StreamFrameModelingVisitor/transferInstruction(org.apache.bcel.generic.InstructionHandle,edu.umd.cs.findbugs.ba.BasicBlock)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/StreamFrameModelingVisitor|,|java+class:///edu/umd/cs/findbugs/ba/AbstractFrameModelingVisitor|>,220,<|java+method:///edu/umd/cs/findbugs/ba/AbstractFrameModelingVisitor/analyzeInstruction(org.apache.bcel.generic.Instruction)|,|java+method:///edu/umd/cs/findbugs/detect/StreamFrameModelingVisitor/transferInstruction(org.apache.bcel.generic.InstructionHandle,edu.umd.cs.findbugs.ba.BasicBlock)|>>,
  <<|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo|,|java+class:///edu/umd/cs/findbugs/classfile/ClassDescriptor|>,220,<|java+method:///edu/umd/cs/findbugs/classfile/ClassDescriptor/equals(java.lang.Object)|,|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo/findMethod(edu.umd.cs.findbugs.classfile.MethodDescriptor)|>>,
  <<|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo|,|java+class:///edu/umd/cs/findbugs/classfile/ClassDescriptor|>,220,<|java+method:///edu/umd/cs/findbugs/classfile/ClassDescriptor/getClassName()|,|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo/getElementType()|>>,
  <<|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo|,|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassNameAndSuperclassInfo|>,220,<|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassNameAndSuperclassInfo/isAnnotation()|,|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo/getElementType()|>>,
  <<|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo|,|java+class:///edu/umd/cs/findbugs/classfile/ClassDescriptor|>,220,<|java+method:///edu/umd/cs/findbugs/classfile/ClassDescriptor/getClassName()|,|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo/getContainingScope0()|>>,
  <<|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo|,|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassNameAndSuperclassInfo|>,220,<|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassNameAndSuperclassInfo/getClassDescriptor()|,|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo/getSlashedPackageName()|>>,
  <<|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo|,|java+class:///edu/umd/cs/findbugs/classfile/ClassDescriptor|>,220,<|java+method:///edu/umd/cs/findbugs/classfile/ClassDescriptor/getClassName()|,|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo/getSlashedPackageName()|>>,
  <<|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo|,|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassNameAndSuperclassInfo|>,220,<|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassNameAndSuperclassInfo/getSuperclassDescriptor()|,|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo/findMethod(java.lang.String,java.lang.String,boolean)|>>,
  <<|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo|,|java+class:///edu/umd/cs/findbugs/classfile/ClassDescriptor|>,220,<|java+method:///edu/umd/cs/findbugs/classfile/ClassDescriptor/toDottedClassName()|,|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo/getPackageName()|>>,
  <<|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo|,|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassNameAndSuperclassInfo|>,220,<|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassNameAndSuperclassInfo/getClassDescriptor()|,|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo/getPackageName()|>>,
  <<|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo|,|java+class:///edu/umd/cs/findbugs/classfile/analysis/ClassNameAndSuperclassInfo|>,220,<|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassNameAndSuperclassInfo/getSuperclassDescriptor()|,|java+method:///edu/umd/cs/findbugs/classfile/analysis/ClassInfo/findField(java.lang.String,java.lang.String,boolean)|>>,
