{
  <<|java+class:///com/itextpdf/text/pdf/PdfPrinterGraphics2D|,|java+class:///com/itextpdf/text/pdf/PdfGraphics2D|>,2,|java+class:///java/awt/Graphics2D|>,
  <<|java+class:///com/itextpdf/text/pdf/collection/PdfCollectionItem|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/GrayColor|,|java+class:///com/itextpdf/text/pdf/ExtendedColor|>,2,|java+class:///com/itextpdf/text/BaseColor|>,
  <<|java+class:///com/itextpdf/text/pdf/SpotColor|,|java+class:///com/itextpdf/text/pdf/ExtendedColor|>,2,|java+class:///com/itextpdf/text/BaseColor|>,
  <<|java+class:///com/itextpdf/text/pdf/TrueTypeFont|,|java+class:///com/itextpdf/text/pdf/BaseFont|>,2,|java+class:///com/itextpdf/text/pdf/BaseFont|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfPatternPainter|,|java+class:///com/itextpdf/text/pdf/PdfTemplate|>,2,|java+class:///com/itextpdf/text/pdf/PdfContentByte|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfIndirectReference|,|java+class:///com/itextpdf/text/pdf/PdfObject|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/rups/view/itext/XfaTextArea|,|java+class:///javax/swing/JScrollPane|>,2,|java+class:///java/awt/Component|>,
  <<|java+class:///com/itextpdf/rups/view/itext/treenodes/PdfObjectTreeNode|,|java+class:///com/itextpdf/rups/view/icons/IconTreeNode|>,2,|java+interface:///javax/swing/tree/TreeNode|>,
  <<|java+class:///com/itextpdf/text/Document|,|java+interface:///com/itextpdf/text/DocListener|>,2,|java+interface:///com/itextpdf/text/ElementListener|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfCopyFieldsImp|,|java+class:///com/itextpdf/text/pdf/PdfWriter|>,2,|java+class:///com/itextpdf/text/pdf/PdfWriter|>,
  <<|java+interface:///com/itextpdf/text/pdf/parser/TextExtractionStrategy|,|java+interface:///com/itextpdf/text/pdf/parser/RenderListener|>,2,|java+interface:///com/itextpdf/text/pdf/parser/RenderListener|>,
  <<|java+class:///com/itextpdf/text/pdf/PRStream|,|java+class:///com/itextpdf/text/pdf/PdfStream|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/ExtendedColor|,|java+class:///com/itextpdf/text/BaseColor|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfEFStream|,|java+class:///com/itextpdf/text/pdf/PdfStream|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfOutline|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/Paragraph|,|java+class:///com/itextpdf/text/Phrase|>,2,|java+interface:///com/itextpdf/text/Element|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfImportedPage|,|java+class:///com/itextpdf/text/pdf/PdfTemplate|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/Anchor|,|java+class:///com/itextpdf/text/Phrase|>,2,|java+interface:///com/itextpdf/text/Element|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfImage|,|java+class:///com/itextpdf/text/pdf/PdfStream|>,2,|java+class:///java/lang/Object|>,
