[
  <<|java+class:///java/io/IOException|,|java+class:///java/lang/Exception|>,207,|project://jasml-0.10/src/com/jasml/compiler/Scanner.java|(2207,50,<86,9>,<86,59>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/Scanner.java|(10356,25,<398,6>,<398,31>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/Scanner.java|(10393,25,<398,43>,<398,68>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/Scanner.java|(10488,25,<400,13>,<400,38>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/Scanner.java|(10525,25,<400,50>,<400,75>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/Scanner.java|(10620,20,<402,13>,<402,33>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/Scanner.java|(10652,20,<402,45>,<402,65>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/Scanner.java|(10728,20,<404,13>,<404,33>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/Scanner.java|(10760,20,<404,45>,<404,65>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/Scanner.java|(14183,36,<571,9>,<571,45>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/Scanner.java|(14280,37,<575,9>,<575,46>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/SourceCodeParser.java|(3166,33,<110,7>,<110,40>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/SourceCodeParser.java|(3338,36,<114,14>,<114,50>)>,
  <<|java+class:///com/jasml/classes/Field|,|java+class:///java/lang/Object|>,201,|project://jasml-0.10/src/com/jasml/compiler/SourceCodeParser.java|(4058,20,<137,3>,<137,23>)>,
  <<|java+class:///com/jasml/classes/Field|,|java+class:///java/lang/Object|>,203,|project://jasml-0.10/src/com/jasml/compiler/SourceCodeParser.java|(4185,50,<142,21>,<142,71>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/SourceCodeParser.java|(6029,38,<198,8>,<198,46>)>,
  <<|java+class:///com/jasml/classes/Attribute|,|java+class:///java/lang/Object|>,203,|project://jasml-0.10/src/com/jasml/compiler/SourceCodeParser.java|(6740,72,<216,96>,<217,46>)>,
  <<|java+class:///com/jasml/classes/Method|,|java+class:///java/lang/Object|>,201,|project://jasml-0.10/src/com/jasml/compiler/SourceCodeParser.java|(6986,22,<227,3>,<227,25>)>,
  <<|java+class:///com/jasml/classes/Method|,|java+class:///java/lang/Object|>,203,|project://jasml-0.10/src/com/jasml/compiler/SourceCodeParser.java|(7120,54,<232,22>,<232,76>)>,
  <<|java+class:///com/jasml/classes/Attribute|,|java+class:///java/lang/Object|>,203,|project://jasml-0.10/src/com/jasml/compiler/SourceCodeParser.java|(8050,74,<253,21>,<253,95>)>,
  <<|java+class:///com/jasml/classes/Attribute|,|java+class:///java/lang/Object|>,203,|project://jasml-0.10/src/com/jasml/compiler/SourceCodeParser.java|(8661,66,<265,22>,<265,88>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/SourceCodeParser.java|(12511,33,<363,9>,<363,42>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/SourceCodeParser.java|(12914,29,<375,9>,<375,38>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/SourceCodeParser.java|(13404,30,<389,9>,<389,39>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://jasml-0.10/src/com/jasml/compiler/SourceCodeParser.java|(13897,36,<403,9>,<403,45>)>,
