[
  <<|java+class:///org/javacc/parser/RCharacterList|,|java+class:///org/javacc/parser/RegularExpression|>,220,<|java+field:///org/javacc/parser/RegularExpression/ordinal|,|java+constructor:///org/javacc/parser/RCharacterList/RCharacterList(char)|>>,
  <<|java+class:///org/javacc/jjtree/ASTBNFNodeScope|,|java+class:///org/javacc/jjtree/JJTreeNode|>,220,<|java+method:///org/javacc/jjtree/JJTreeNode/getIndentation(org.javacc.jjtree.JJTreeNode)|,|java+method:///org/javacc/jjtree/ASTBNFNodeScope/print(org.javacc.jjtree.IO)|>>,
  <<|java+class:///org/javacc/jjtree/ASTBNFNodeScope|,|java+class:///org/javacc/jjtree/JJTreeNode|>,220,<|java+method:///org/javacc/jjtree/JJTreeNode/print(org.javacc.jjtree.IO)|,|java+method:///org/javacc/jjtree/ASTBNFNodeScope/print(org.javacc.jjtree.IO)|>>,
  <<|java+class:///org/javacc/jjtree/ASTBNFNodeScope|,|java+class:///org/javacc/jjtree/JJTreeNode|>,220,<|java+method:///org/javacc/jjtree/JJTreeNode/openJJTreeComment(org.javacc.jjtree.IO,java.lang.String)|,|java+method:///org/javacc/jjtree/ASTBNFNodeScope/print(org.javacc.jjtree.IO)|>>,
  <<|java+class:///org/javacc/jjtree/ASTBNFDeclaration|,|java+class:///org/javacc/jjtree/JJTreeNode|>,220,<|java+method:///org/javacc/jjtree/JJTreeNode/closeJJTreeComment(org.javacc.jjtree.IO)|,|java+method:///org/javacc/jjtree/ASTBNFDeclaration/print(org.javacc.jjtree.IO)|>>,
  <<|java+class:///org/javacc/jjtree/ASTBNFDeclaration|,|java+class:///org/javacc/jjtree/JJTreeNode|>,220,<|java+method:///org/javacc/jjtree/JJTreeNode/print(org.javacc.jjtree.IO)|,|java+method:///org/javacc/jjtree/ASTBNFDeclaration/print(org.javacc.jjtree.IO)|>>,
  <<|java+class:///org/javacc/jjtree/ASTBNFDeclaration|,|java+class:///org/javacc/jjtree/JJTreeNode|>,220,<|java+method:///org/javacc/jjtree/JJTreeNode/openJJTreeComment(org.javacc.jjtree.IO,java.lang.String)|,|java+method:///org/javacc/jjtree/ASTBNFDeclaration/print(org.javacc.jjtree.IO)|>>,
  <<|java+class:///org/javacc/jjtree/ASTBNFDeclaration|,|java+class:///org/javacc/jjtree/JJTreeNode|>,220,<|java+method:///org/javacc/jjtree/JJTreeNode/getFirstToken()|,|java+method:///org/javacc/jjtree/ASTBNFDeclaration/print(org.javacc.jjtree.IO)|>>,
  <<|java+class:///org/javacc/jjdoc/JJDocMain|,|java+class:///org/javacc/jjdoc/JJDocGlobals|>,220,<|java+field:///org/javacc/jjdoc/JJDocGlobals/input_file|,|java+method:///org/javacc/jjdoc/JJDocMain/mainProgram(java.lang.String%5B%5D)|>>,
  <<|java+class:///org/javacc/jjdoc/JJDocMain|,|java+class:///org/javacc/parser/JavaCCGlobals|>,220,<|java+method:///org/javacc/parser/JavaCCGlobals/bannerLine(java.lang.String,java.lang.String)|,|java+method:///org/javacc/jjdoc/JJDocMain/mainProgram(java.lang.String%5B%5D)|>>,
  <<|java+class:///org/javacc/jjdoc/JJDocMain|,|java+class:///org/javacc/jjdoc/JJDocGlobals|>,220,<|java+field:///org/javacc/jjdoc/JJDocGlobals/output_file|,|java+method:///org/javacc/jjdoc/JJDocMain/mainProgram(java.lang.String%5B%5D)|>>,
  <<|java+class:///org/javacc/jjdoc/JJDocMain|,|java+class:///org/javacc/jjdoc/JJDocGlobals|>,220,<|java+method:///org/javacc/jjdoc/JJDocGlobals/info(java.lang.String)|,|java+method:///org/javacc/jjdoc/JJDocMain/mainProgram(java.lang.String%5B%5D)|>>,
  <<|java+class:///org/javacc/jjdoc/JJDocMain|,|java+class:///org/javacc/jjdoc/JJDocGlobals|>,220,<|java+method:///org/javacc/jjdoc/JJDocGlobals/error(java.lang.String)|,|java+method:///org/javacc/jjdoc/JJDocMain/mainProgram(java.lang.String%5B%5D)|>>,
  <<|java+class:///org/javacc/jjdoc/JJDocMain|,|java+class:///org/javacc/jjdoc/JJDocGlobals|>,220,<|java+method:///org/javacc/jjdoc/JJDocGlobals/info(java.lang.String)|,|java+method:///org/javacc/jjdoc/JJDocMain/help_message()|>>,
  <<|java+class:///org/javacc/jjtree/ASTNodeDescriptorExpression|,|java+class:///org/javacc/jjtree/JJTreeNode|>,220,<|java+method:///org/javacc/jjtree/JJTreeNode/whiteOut(org.javacc.jjtree.Token)|,|java+method:///org/javacc/jjtree/ASTNodeDescriptorExpression/translateImage(org.javacc.jjtree.Token)|>>,
  <<|java+class:///org/javacc/parser/TryBlock|,|java+class:///org/javacc/parser/Expansion|>,220,<|java+field:///org/javacc/parser/Expansion/eol|,|java+method:///org/javacc/parser/TryBlock/dump(int,java.util.Set)|>>,
  <<|java+class:///org/javacc/parser/TryBlock|,|java+class:///org/javacc/parser/Expansion|>,220,<|java+method:///org/javacc/parser/Expansion/dump(int,java.util.Set)|,|java+method:///org/javacc/parser/TryBlock/dump(int,java.util.Set)|>>,
  <<|java+class:///org/javacc/parser/Semanticize|,|java+class:///org/javacc/parser/JavaCCGlobals|>,220,<|java+field:///org/javacc/parser/JavaCCGlobals/ordered_named_tokens|,|java+method:///org/javacc/parser/Semanticize/start()|>>,
  <<|java+class:///org/javacc/parser/Semanticize|,|java+class:///org/javacc/parser/JavaCCGlobals|>,220,<|java+field:///org/javacc/parser/JavaCCGlobals/nextStateForEof|,|java+method:///org/javacc/parser/Semanticize/start()|>>,
  <<|java+class:///org/javacc/parser/Semanticize|,|java+class:///org/javacc/parser/JavaCCGlobals|>,220,<|java+field:///org/javacc/parser/JavaCCGlobals/tokenCount|,|java+method:///org/javacc/parser/Semanticize/start()|>>,
  <<|java+class:///org/javacc/parser/Semanticize|,|java+class:///org/javacc/parser/JavaCCGlobals|>,220,<|java+field:///org/javacc/parser/JavaCCGlobals/simple_tokens_table|,|java+method:///org/javacc/parser/Semanticize/start()|>>,
  <<|java+class:///org/javacc/parser/Semanticize|,|java+class:///org/javacc/parser/JavaCCGlobals|>,220,<|java+field:///org/javacc/parser/JavaCCGlobals/bnfproductions|,|java+method:///org/javacc/parser/Semanticize/start()|>>,
  <<|java+class:///org/javacc/parser/Semanticize|,|java+class:///org/javacc/parser/JavaCCGlobals|>,220,<|java+field:///org/javacc/parser/JavaCCGlobals/production_table|,|java+method:///org/javacc/parser/Semanticize/start()|>>,
  <<|java+class:///org/javacc/parser/Semanticize|,|java+class:///org/javacc/parser/JavaCCGlobals|>,220,<|java+field:///org/javacc/parser/JavaCCGlobals/lexstate_I2S|,|java+method:///org/javacc/parser/Semanticize/start()|>>,
  <<|java+class:///org/javacc/parser/Semanticize|,|java+class:///org/javacc/parser/JavaCCGlobals|>,220,<|java+field:///org/javacc/parser/JavaCCGlobals/lexstate_S2I|,|java+method:///org/javacc/parser/Semanticize/start()|>>,
  <<|java+class:///org/javacc/parser/Semanticize|,|java+class:///org/javacc/parser/JavaCCGlobals|>,220,<|java+field:///org/javacc/parser/JavaCCGlobals/rexprlist|,|java+method:///org/javacc/parser/Semanticize/start()|>>,
  <<|java+class:///org/javacc/parser/Semanticize|,|java+class:///org/javacc/parser/JavaCCGlobals|>,220,<|java+field:///org/javacc/parser/JavaCCGlobals/actForEof|,|java+method:///org/javacc/parser/Semanticize/start()|>>,
