{
  <<|java+class:///org/jgrapht/alg/CycleDetector/ProbeIterator|,|java+class:///org/jgrapht/traverse/CrossComponentIterator|>,<|project://jgrapht-0.8.1/src/org/jgrapht/alg/CycleDetector.java|(5177,23,<174,29>,<174,52>),|java+class:///org/jgrapht/alg/CycleDetector/ProbeIterator|>>,
  <<|java+class:///org/jgrapht/traverse/BreadthFirstIterator|,|java+class:///org/jgrapht/traverse/CrossComponentIterator|>,<|project://jgrapht-0.8.1/src/org/jgrapht/alg/ConnectivityInspector.java|(5061,45,<142,16>,<142,61>),|java+class:///org/jgrapht/traverse/BreadthFirstIterator|>>,
  <<|java+class:///org/jgrapht/traverse/BreadthFirstIterator|,|java+class:///org/jgrapht/traverse/CrossComponentIterator|>,<|project://jgrapht-0.8.1/src/org/jgrapht/alg/ConnectivityInspector.java|(8331,43,<246,20>,<246,63>),|java+class:///org/jgrapht/traverse/BreadthFirstIterator|>>,
  <<|java+class:///org/jgrapht/alg/BellmanFordPathElement|,|java+class:///org/jgrapht/alg/AbstractPathElement|>,<|project://jgrapht-0.8.1/src/org/jgrapht/alg/BellmanFordShortestPath.java|(5016,32,<177,15>,<177,47>),|java+method:///org/jgrapht/alg/AbstractPathElement/createEdgeListPath()|>>,
  <<|java+class:///org/jgrapht/traverse/DepthFirstIterator|,|java+class:///org/jgrapht/traverse/CrossComponentIterator|>,<|project://jgrapht-0.8.1/src/org/jgrapht/demo/CompleteGraphDemo.java|(3051,58,<88,12>,<88,70>),|java+class:///org/jgrapht/traverse/DepthFirstIterator|>>,
  <<|java+class:///org/jgrapht/graph/SimpleGraph|,|java+class:///org/jgrapht/graph/AbstractBaseGraph|>,<|project://jgrapht-0.8.1/testsrc/org/jgrapht/graph/CloneTest.java|(2507,10,<84,47>,<84,57>),|java+method:///org/jgrapht/graph/AbstractBaseGraph/clone()|>>,
  <<|java+class:///org/jgrapht/traverse/TopologicalOrderIterator|,|java+class:///org/jgrapht/traverse/CrossComponentIterator|>,<|project://jgrapht-0.8.1/src/org/jgrapht/traverse/TopologicalOrderIterator.java|(5481,17,<140,8>,<140,25>),|java+constructor:///org/jgrapht/traverse/CrossComponentIterator/CrossComponentIterator(org.jgrapht.Graph,V)|>>,
  <<|java+class:///org/jgrapht/alg/RankingPathElement|,|java+class:///org/jgrapht/alg/AbstractPathElement|>,<|project://jgrapht-0.8.1/src/org/jgrapht/alg/KShortestPaths.java|(7489,39,<247,27>,<247,66>),|java+method:///org/jgrapht/alg/AbstractPathElement/createEdgeListPath()|>>,
  <<|java+class:///org/jgrapht/traverse/DepthFirstIterator|,|java+class:///org/jgrapht/traverse/CrossComponentIterator|>,<|project://jgrapht-0.8.1/src/org/jgrapht/demo/PerformanceDemo.java|(3664,46,<125,25>,<125,71>),|java+class:///org/jgrapht/traverse/DepthFirstIterator|>>,
  <<|java+class:///org/jgrapht/traverse/ClosestFirstIterator|,|java+class:///org/jgrapht/traverse/CrossComponentIterator|>,<|project://jgrapht-0.8.1/testsrc/org/jgrapht/traverse/ClosestFirstIteratorTest.java|(2734,52,<93,12>,<93,64>),|java+class:///org/jgrapht/traverse/ClosestFirstIterator|>>,
  <<|java+class:///org/jgrapht/traverse/TopologicalOrderIterator|,|java+class:///org/jgrapht/traverse/CrossComponentIterator|>,<|project://jgrapht-0.8.1/testsrc/org/jgrapht/traverse/TopologicalOrderIteratorTest.java|(3507,59,<117,15>,<117,74>),|java+class:///org/jgrapht/traverse/TopologicalOrderIterator|>>,
  <<|java+class:///org/jgrapht/traverse/TopologicalOrderIterator|,|java+class:///org/jgrapht/traverse/CrossComponentIterator|>,<|project://jgrapht-0.8.1/testsrc/org/jgrapht/traverse/TopologicalOrderIteratorTest.java|(3961,56,<135,12>,<135,68>),|java+class:///org/jgrapht/traverse/TopologicalOrderIterator|>>,
  <<|java+class:///org/jgrapht/traverse/DepthFirstIterator|,|java+class:///org/jgrapht/traverse/CrossComponentIterator|>,<|project://jgrapht-0.8.1/testsrc/org/jgrapht/traverse/IgnoreDirectionTest.java|(2717,64,<85,12>,<85,76>),|java+class:///org/jgrapht/traverse/DepthFirstIterator|>>,
  <<|java+class:///org/jgrapht/traverse/BreadthFirstIterator|,|java+class:///org/jgrapht/traverse/CrossComponentIterator|>,<|project://jgrapht-0.8.1/testsrc/org/jgrapht/traverse/BreadthFirstIteratorTest.java|(2454,56,<77,12>,<77,68>),|java+class:///org/jgrapht/traverse/BreadthFirstIterator|>>,
  <<|java+class:///org/jgrapht/traverse/ClosestFirstIterator|,|java+class:///org/jgrapht/traverse/CrossComponentIterator|>,<|project://jgrapht-0.8.1/testsrc/org/jgrapht/traverse/ClosestFirstIteratorTest.java|(3478,56,<122,12>,<122,68>),|java+class:///org/jgrapht/traverse/ClosestFirstIterator|>>,
  <<|java+class:///org/jgrapht/traverse/DepthFirstIterator|,|java+class:///org/jgrapht/traverse/CrossComponentIterator|>,<|project://jgrapht-0.8.1/testsrc/org/jgrapht/traverse/DepthFirstIteratorTest.java|(2561,54,<84,12>,<84,66>),|java+class:///org/jgrapht/traverse/DepthFirstIterator|>>,
  <<|java+class:///org/jgrapht/traverse/ClosestFirstIterator|,|java+class:///org/jgrapht/traverse/CrossComponentIterator|>,<|project://jgrapht-0.8.1/src/org/jgrapht/alg/DijkstraShortestPath.java|(3624,58,<106,12>,<106,70>),|java+class:///org/jgrapht/traverse/ClosestFirstIterator|>>,
  <<|java+class:///org/jgrapht/traverse/TopologicalOrderIterator|,|java+class:///org/jgrapht/traverse/CrossComponentIterator|>,<|project://jgrapht-0.8.1/testsrc/org/jgrapht/traverse/TopologicalOrderIteratorTest.java|(3153,56,<105,12>,<105,68>),|java+class:///org/jgrapht/traverse/TopologicalOrderIterator|>>,
