[
  <<|java+class:///junit/framework/TestCase|,|java+class:///junit/framework/Assert|>,211,|project://junit-4.10/src/org/junit/internal/runners/JUnit38ClassRunner.java|(2779,13,<98,44>,<98,57>),|java+method:///java/lang/Object/getClass()|>,
  <<|java+class:///org/junit/internal/runners/statements/FailOnTimeout/StatementThread|,|java+class:///java/lang/Thread|>,211,|project://junit-4.10/src/org/junit/internal/runners/statements/FailOnTimeout.java|(680,14,<27,2>,<27,16>),|java+method:///java/lang/Thread/start()|>,
  <<|java+class:///org/junit/internal/runners/statements/FailOnTimeout/StatementThread|,|java+class:///java/lang/Thread|>,211,|project://junit-4.10/src/org/junit/internal/runners/statements/FailOnTimeout.java|(698,21,<28,2>,<28,23>),|java+method:///java/lang/Thread/join(long)|>,
  <<|java+class:///org/junit/internal/runners/statements/FailOnTimeout/StatementThread|,|java+class:///java/lang/Thread|>,211,|project://junit-4.10/src/org/junit/internal/runners/statements/FailOnTimeout.java|(723,18,<29,2>,<29,20>),|java+method:///java/lang/Thread/interrupt()|>,
  <<|java+class:///org/junit/internal/runners/statements/FailOnTimeout/StatementThread|,|java+class:///java/lang/Thread|>,211,|project://junit-4.10/src/org/junit/internal/runners/statements/FailOnTimeout.java|(1227,22,<44,26>,<44,48>),|java+method:///java/lang/Thread/getStackTrace()|>,
  <<|java+class:///org/junit/internal/InexactComparisonCriteria|,|java+class:///org/junit/internal/ComparisonCriteria|>,210,|project://junit-4.10/src/org/junit/Assert.java|(10901,77,<352,2>,<352,79>),|java+method:///org/junit/internal/ComparisonCriteria/arrayEquals(java.lang.String,java.lang.Object,java.lang.Object)|>,
  <<|java+class:///org/junit/internal/InexactComparisonCriteria|,|java+class:///org/junit/internal/ComparisonCriteria|>,210,|project://junit-4.10/src/org/junit/Assert.java|(11935,77,<382,2>,<382,79>),|java+method:///org/junit/internal/ComparisonCriteria/arrayEquals(java.lang.String,java.lang.Object,java.lang.Object)|>,
  <<|java+class:///org/junit/internal/ExactComparisonCriteria|,|java+class:///org/junit/internal/ComparisonCriteria|>,210,|project://junit-4.10/src/org/junit/Assert.java|(13183,70,<416,2>,<416,72>),|java+method:///org/junit/internal/ComparisonCriteria/arrayEquals(java.lang.String,java.lang.Object,java.lang.Object)|>,
  <<|java+class:///org/junit/experimental/max/CouldNotReadCoreException|,|java+class:///java/lang/Exception|>,211,|project://junit-4.10/src/org/junit/experimental/max/MaxHistory.java|(1009,19,<38,4>,<38,23>),|java+method:///java/lang/Throwable/printStackTrace()|>,
  <<|java+class:///org/junit/internal/builders/AllDefaultPossibilitiesBuilder|,|java+class:///org/junit/runners/model/RunnerBuilder|>,210,|project://junit-4.10/src/org/junit/internal/requests/ClassRequest.java|(552,85,<24,9>,<24,94>),|java+method:///org/junit/runners/model/RunnerBuilder/safeRunnerForClass(java.lang.Class)|>
]
