[
  <<|java+class:///org/apache/html/dom/HTMLDocumentImpl|,|java+interface:///org/w3c/dom/html/HTMLDocument|>,202,|java+variable:///org/cyberneko/html/DOMFragmentParserTest/doTest(java.lang.String,java.lang.String)/document|>,
  <<|java+class:///java/io/StringReader|,|java+class:///java/io/Reader|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/DOMFragmentParserTest.java|(1338,39,<42,29>,<42,68>)>,
  <<|java+interface:///org/w3c/dom/ls/DOMImplementationLS|,|java+interface:///org/w3c/dom/DOMImplementation|>,203,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/DOMFragmentParserTest.java|(1819,56,<53,12>,<53,68>)>,
  <<|java+interface:///org/w3c/dom/DocumentFragment|,|java+interface:///org/w3c/dom/Node|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/DOMFragmentParserTest.java|(1956,30,<56,21>,<56,51>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLEntities.java|(1589,26,<56,25>,<56,51>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLEntities.java|(2068,18,<74,31>,<74,49>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLEntities.java|(2060,26,<74,23>,<74,49>)>,
  <<|java+class:///org/apache/xerces/xni/QName|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/FragmentContextStackTest.java|(2041,118,<61,3>,<61,121>)>,
  <<|java+class:///java/io/StringWriter|,|java+class:///java/io/Writer|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/FragmentContextStackTest.java|(2253,15,<65,40>,<65,55>)>,
  <<|java+interface:///org/apache/xerces/xni/parser/XMLDocumentFilter|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/FragmentContextStackTest.java|(2274,75,<66,2>,<66,77>)>,
  <<|java+class:///java/io/StringReader|,|java+class:///java/io/Reader|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/FragmentContextStackTest.java|(2430,47,<69,28>,<69,75>)>,
  <<|java+class:///org/cyberneko/html/HTMLConfiguration|,|java+interface:///org/apache/xerces/xni/parser/XMLParserConfiguration|>,202,|java+variable:///sample/RemoveElements/main(java.lang.String%5B%5D)/parser|>,
  <<|java+interface:///org/apache/xerces/xni/parser/XMLDocumentFilter|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/sample/RemoveElements.java|(2015,75,<67,8>,<67,83>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLAugmentations.java|(1855,27,<61,25>,<61,52>)>,
  <<|java+class:///org/cyberneko/html/HTMLScanner/LocationItem|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLAugmentations.java|(2023,32,<64,44>,<64,76>)>,
  <<|java+class:///org/cyberneko/html/HTMLScanner/LocationItem|,|java+class:///java/lang/Object|>,201,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLAugmentations.java|(1986,70,<64,7>,<64,77>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLAugmentations.java|(3428,15,<113,15>,<113,30>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLAugmentations.java|(3835,18,<124,15>,<124,33>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,202,|java+variable:///org/cyberneko/html/filters/ElementRemover/acceptElement(java.lang.String,java.lang.String%5B%5D)/key|>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,201,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/ElementRemover.java|(5098,18,<146,12>,<146,30>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,202,|java+variable:///org/cyberneko/html/filters/ElementRemover/removeElement(java.lang.String)/key|>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,202,|java+variable:///org/cyberneko/html/filters/ElementRemover/elementAccepted(java.lang.String)/key|>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,202,|java+variable:///org/cyberneko/html/filters/ElementRemover/elementRemoved(java.lang.String)/key|>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,202,|java+variable:///org/cyberneko/html/filters/ElementRemover/handleOpenTag(org.apache.xerces.xni.QName,org.apache.xerces.xni.XMLAttributes)/scope(0)/key|>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/ElementRemover.java|(11863,15,<325,34>,<325,49>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/ElementRemover.java|(12169,23,<330,28>,<330,51>)>,
  <<|java+interface:///org/apache/xerces/xni/parser/XMLDocumentFilter|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/HTMLScannerTest.java|(2201,100,<56,8>,<56,108>)>,
  <<|java+class:///java/io/StringReader|,|java+class:///java/io/Reader|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/HTMLScannerTest.java|(2335,75,<57,32>,<57,107>)>,
  <<|java+interface:///java/util/List|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/HTMLScannerTest.java|(2767,68,<63,8>,<63,76>)>,
  <<|java+interface:///java/util/List|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/HTMLScannerTest.java|(2767,68,<63,8>,<63,76>)>,
  <<|java+class:///java/io/StringReader|,|java+class:///java/io/Reader|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/HTMLScannerTest.java|(3269,79,<75,32>,<75,111>)>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+field:///org/cyberneko/html/HTMLScannerTest/EvaluateInputSourceFilter/collectedStrings|>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/HTMLScannerTest.java|(4112,34,<96,15>,<96,49>)>,
  <<|java+class:///java/io/StringReader|,|java+class:///java/io/Reader|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/HTMLScannerTest.java|(4636,141,<108,36>,<109,88>)>,
  <<|java+anonymousClass:///org/cyberneko/html/HTMLScannerTest/testInfiniteLoop()/$anonymous1|,|java+interface:///org/apache/xerces/xni/parser/XMLParserConfiguration|>,202,|java+variable:///org/cyberneko/html/HTMLScannerTest/testInfiniteLoop()/parser|>,
  <<|java+class:///java/io/StringReader|,|java+class:///java/io/Reader|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/HTMLScannerTest.java|(6280,86,<156,32>,<156,118>)>,
  <<|java+class:///org/cyberneko/html/HTMLScannerTest/InfiniteLoopScanner/MyContentScanner|,|java+interface:///org/cyberneko/html/HTMLScanner/Scanner|>,201,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/HTMLScannerTest.java|(6501,40,<162,12>,<162,52>)>,
  <<|java+class:///java/io/PrintStream|,|java+class:///java/io/OutputStream|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Writer.java|(4203,45,<122,39>,<122,84>)>,
  <<|java+class:///java/io/OutputStreamWriter|,|java+class:///java/io/Writer|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Writer.java|(4187,62,<122,23>,<122,85>)>,
