[
  <<|java+class:///org/exolab/jms/message/TextMessageConverter|,|java+class:///org/exolab/jms/message/AbstractMessageConverter|>,220,<|java+method:///org/exolab/jms/message/AbstractMessageConverter/populate(javax.jms.Message,javax.jms.Message)|,|java+method:///org/exolab/jms/message/TextMessageConverter/populate(javax.jms.Message,javax.jms.Message)|>>,
  <<|java+class:///org/exolab/jms/client/JmsQueueReceiver|,|java+class:///org/exolab/jms/client/JmsMessageConsumer|>,220,<|java+method:///org/exolab/jms/client/JmsMessageConsumer/getDestination()|,|java+method:///org/exolab/jms/client/JmsQueueReceiver/getQueue()|>>,
  <<|java+class:///org/exolab/jms/persistence/DBCPConnectionManager|,|java+class:///org/exolab/jms/persistence/AbstractConnectionManager|>,220,<|java+method:///org/exolab/jms/persistence/AbstractConnectionManager/getMaxIdle()|,|java+method:///org/exolab/jms/persistence/DBCPConnectionManager/init()|>>,
  <<|java+class:///org/exolab/jms/persistence/DBCPConnectionManager|,|java+class:///org/exolab/jms/persistence/AbstractConnectionManager|>,220,<|java+method:///org/exolab/jms/persistence/AbstractConnectionManager/getPassword()|,|java+method:///org/exolab/jms/persistence/DBCPConnectionManager/init()|>>,
  <<|java+class:///org/exolab/jms/persistence/DBCPConnectionManager|,|java+class:///org/exolab/jms/persistence/AbstractConnectionManager|>,220,<|java+method:///org/exolab/jms/persistence/AbstractConnectionManager/getEvictionInterval()|,|java+method:///org/exolab/jms/persistence/DBCPConnectionManager/init()|>>,
  <<|java+class:///org/exolab/jms/persistence/DBCPConnectionManager|,|java+class:///org/exolab/jms/persistence/AbstractConnectionManager|>,220,<|java+method:///org/exolab/jms/persistence/AbstractConnectionManager/getUser()|,|java+method:///org/exolab/jms/persistence/DBCPConnectionManager/init()|>>,
  <<|java+class:///org/exolab/jms/persistence/DBCPConnectionManager|,|java+class:///org/exolab/jms/persistence/AbstractConnectionManager|>,220,<|java+method:///org/exolab/jms/persistence/AbstractConnectionManager/getURL()|,|java+method:///org/exolab/jms/persistence/DBCPConnectionManager/init()|>>,
  <<|java+class:///org/exolab/jms/persistence/DBCPConnectionManager|,|java+class:///org/exolab/jms/persistence/AbstractConnectionManager|>,220,<|java+method:///org/exolab/jms/persistence/AbstractConnectionManager/getMinIdleTime()|,|java+method:///org/exolab/jms/persistence/DBCPConnectionManager/init()|>>,
  <<|java+class:///org/exolab/jms/persistence/DBCPConnectionManager|,|java+class:///org/exolab/jms/persistence/AbstractConnectionManager|>,220,<|java+method:///org/exolab/jms/persistence/AbstractConnectionManager/getTestQuery()|,|java+method:///org/exolab/jms/persistence/DBCPConnectionManager/init()|>>,
  <<|java+class:///org/exolab/jms/persistence/DBCPConnectionManager|,|java+class:///org/exolab/jms/persistence/AbstractConnectionManager|>,220,<|java+method:///org/exolab/jms/persistence/AbstractConnectionManager/getTestBeforeUse()|,|java+method:///org/exolab/jms/persistence/DBCPConnectionManager/init()|>>,
  <<|java+class:///org/exolab/jms/persistence/DBCPConnectionManager|,|java+class:///org/exolab/jms/persistence/AbstractConnectionManager|>,220,<|java+method:///org/exolab/jms/persistence/AbstractConnectionManager/getMaxActive()|,|java+method:///org/exolab/jms/persistence/DBCPConnectionManager/init()|>>,
  <<|java+class:///org/exolab/jms/persistence/DBCPConnectionManager|,|java+class:///org/exolab/jms/persistence/AbstractConnectionManager|>,220,<|java+method:///org/exolab/jms/persistence/AbstractConnectionManager/getDriver()|,|java+method:///org/exolab/jms/persistence/DBCPConnectionManager/init()|>>,
