[
  <<|java+class:///net/suberic/pooka/resource/FileResourceManager|,|java+class:///net/suberic/pooka/resource/ResourceManager|>,220,<|java+method:///net/suberic/pooka/resource/ResourceManager/translateName(java.lang.String)|,|java+method:///net/suberic/pooka/resource/FileResourceManager/translateName(java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/gui/MessageProxy/OpenTextDisplayAction|,|java+class:///net/suberic/pooka/gui/MessageProxy/OpenAction|>,220,<|java+field:///net/suberic/pooka/gui/MessageProxy/OpenAction/displayModeValue|,|java+constructor:///net/suberic/pooka/gui/MessageProxy/OpenTextDisplayAction/OpenTextDisplayAction()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/AddressBookWizardController|,|java+class:///net/suberic/util/gui/propedit/WizardController|>,220,<|java+method:///net/suberic/util/gui/propedit/WizardController/getManager()|,|java+method:///net/suberic/pooka/gui/propedit/AddressBookWizardController/saveProperties()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/AddressBookWizardController|,|java+class:///net/suberic/util/gui/propedit/WizardController|>,220,<|java+method:///net/suberic/util/gui/propedit/WizardController/getManager()|,|java+method:///net/suberic/pooka/gui/propedit/AddressBookWizardController/checkStateTransition(java.lang.String,java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/AddressBookWizardController|,|java+class:///net/suberic/util/gui/propedit/WizardController|>,220,<|java+method:///net/suberic/util/gui/propedit/WizardController/getEditorPane()|,|java+method:///net/suberic/pooka/gui/propedit/AddressBookWizardController/checkStateTransition(java.lang.String,java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/AddressBookWizardController|,|java+class:///net/suberic/util/gui/propedit/WizardController|>,220,<|java+method:///net/suberic/util/gui/propedit/WizardController/getManager()|,|java+method:///net/suberic/pooka/gui/propedit/AddressBookWizardController/finishWizard()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/AddressBookWizardController|,|java+class:///net/suberic/util/gui/propedit/WizardController|>,220,<|java+method:///net/suberic/util/gui/propedit/WizardController/getEditorPane()|,|java+method:///net/suberic/pooka/gui/propedit/AddressBookWizardController/finishWizard()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/AddressBookWizardController|,|java+class:///net/suberic/util/gui/propedit/WizardController|>,220,<|java+method:///net/suberic/util/gui/propedit/WizardController/getManager()|,|java+method:///net/suberic/pooka/gui/propedit/AddressBookWizardController/createAddressBookProperties()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/AddressBookWizardController|,|java+class:///net/suberic/util/gui/propedit/WizardController|>,220,<|java+method:///net/suberic/util/gui/propedit/WizardController/getManager()|,|java+method:///net/suberic/pooka/gui/propedit/AddressBookWizardController/appendProperty(java.lang.String,java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/AddressBookWizardController|,|java+class:///net/suberic/util/gui/propedit/WizardController|>,220,<|java+method:///net/suberic/util/gui/propedit/WizardController/getManager()|,|java+method:///net/suberic/pooka/gui/propedit/AddressBookWizardController/setUniqueProperty(net.suberic.util.gui.propedit.PropertyEditorUI,java.lang.String,java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/AddressBookWizardController|,|java+class:///net/suberic/util/gui/propedit/WizardController|>,220,<|java+method:///net/suberic/util/gui/propedit/WizardController/getManager()|,|java+method:///net/suberic/pooka/gui/propedit/AddressBookWizardController/addAll(java.util.Properties)|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/property|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/getValue()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/originalValue|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/resetDefaultValue()|>>,
  <<|java+class:///net/suberic/pooka/gui/propedit/FolderSelectorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/manager|,|java+method:///net/suberic/pooka/gui/propedit/FolderSelectorPane/createInputButton()|>>,
