[
  <<|java+class:///proguard/evaluation/value/Category2Value|,|java+class:///proguard/evaluation/value/Value|>,|java+class:///proguard/evaluation/value/Category1Value|>,
  <<|java+class:///proguard/gui/splash/TimeSwitchSprite|,|java+interface:///proguard/gui/splash/Sprite|>,|java+class:///proguard/gui/splash/ShadowedSprite|>,
  <<|java+class:///proguard/gui/splash/SawToothTiming|,|java+interface:///proguard/gui/splash/Timing|>,|java+class:///proguard/gui/splash/SmoothTiming|>,
  <<|java+class:///proguard/classfile/visitor/ExceptClassesFilter|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/optimize/peephole/GotoGotoReplacer|,|java+interface:///proguard/classfile/instruction/visitor/InstructionVisitor|>,|java+class:///proguard/optimize/peephole/ReachableCodeMarker|>,
  <<|java+class:///proguard/classfile/visitor/ReferencedMemberVisitor|,|java+interface:///proguard/classfile/attribute/annotation/visitor/ElementValueVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/classfile/visitor/VariableClassVisitor|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/optimize/peephole/NopRemover|,|java+interface:///proguard/classfile/instruction/visitor/InstructionVisitor|>,|java+class:///proguard/optimize/peephole/ReachableCodeMarker|>,
  <<|java+class:///proguard/classfile/editor/InstructionWriter|,|java+interface:///proguard/classfile/attribute/visitor/AttributeVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/classfile/visitor/ProgramMemberFilter|,|java+interface:///proguard/classfile/visitor/MemberVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/shrink/SignatureUsageMarker|,|java+interface:///proguard/classfile/attribute/visitor/AttributeVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/optimize/info/MethodInvocationMarker|,|java+interface:///proguard/classfile/instruction/visitor/InstructionVisitor|>,|java+class:///proguard/optimize/peephole/ReachableCodeMarker|>,
  <<|java+class:///proguard/classfile/visitor/ExceptionRangeFilter|,|java+interface:///proguard/classfile/attribute/visitor/ExceptionInfoVisitor|>,|java+class:///proguard/classfile/editor/ExceptionInfoAdder|>,
  <<|java+class:///proguard/optimize/ChangedCodePrinter|,|java+interface:///proguard/classfile/attribute/visitor/AttributeVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/classfile/visitor/VariableMemberVisitor|,|java+interface:///proguard/classfile/visitor/MemberVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/shrink/InnerUsageMarker|,|java+interface:///proguard/classfile/attribute/visitor/AttributeVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/classfile/io/ProgramClassReader|,|java+interface:///proguard/classfile/attribute/visitor/LineNumberInfoVisitor|>,|java+class:///proguard/classfile/editor/CodeAttributeEditor|>,
  <<|java+class:///proguard/classfile/instruction/visitor/InstructionConstantVisitor|,|java+interface:///proguard/classfile/instruction/visitor/InstructionVisitor|>,|java+class:///proguard/optimize/peephole/ReachableCodeMarker|>,
  <<|java+class:///proguard/classfile/editor/CodeAttributeComposer|,|java+interface:///proguard/classfile/attribute/visitor/ExceptionInfoVisitor|>,|java+class:///proguard/classfile/editor/ExceptionInfoAdder|>,
  <<|java+class:///proguard/optimize/peephole/InstructionSequenceReplacer|,|java+interface:///proguard/classfile/constant/visitor/ConstantVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/gui/splash/ImageSprite|,|java+interface:///proguard/gui/splash/Sprite|>,|java+class:///proguard/gui/splash/ShadowedSprite|>,
  <<|java+class:///proguard/gui/splash/ConstantTiming|,|java+interface:///proguard/gui/splash/Timing|>,|java+class:///proguard/gui/splash/SmoothTiming|>,
  <<|java+class:///proguard/optimize/peephole/InstructionSequencesReplacer|,|java+interface:///proguard/classfile/instruction/visitor/InstructionVisitor|>,|java+class:///proguard/optimize/peephole/ReachableCodeMarker|>,
  <<|java+class:///proguard/KeepClassMemberChecker|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/optimize/info/CatchExceptionMarker|,|java+interface:///proguard/classfile/attribute/visitor/AttributeVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/shrink/ClassShrinker|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/classfile/editor/VariableEditor|,|java+interface:///proguard/classfile/attribute/visitor/AttributeVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/optimize/info/VariableUsageMarker|,|java+interface:///proguard/classfile/attribute/visitor/AttributeVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/gui/splash/VariableSizeFont|,|java+interface:///proguard/gui/splash/VariableFont|>,|java+class:///proguard/gui/splash/ConstantFont|>,
  <<|java+class:///proguard/classfile/io/ProgramClassWriter|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/obfuscate/MappingKeeper|,|java+interface:///proguard/obfuscate/MappingProcessor|>,|java+class:///proguard/retrace/ReTrace|>,
  <<|java+class:///proguard/obfuscate/MemberNameCleaner|,|java+interface:///proguard/classfile/visitor/MemberVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/classfile/io/ProgramClassReader|,|java+interface:///proguard/classfile/attribute/visitor/BootstrapMethodInfoVisitor|>,|java+class:///proguard/classfile/editor/ConstantPoolShrinker|>,
  <<|java+class:///proguard/io/DataEntryClassWriter|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/gui/splash/LinearDouble|,|java+interface:///proguard/gui/splash/VariableDouble|>,|java+class:///proguard/gui/splash/ConstantDouble|>,
  <<|java+class:///proguard/shrink/AnnotationUsageMarker|,|java+interface:///proguard/classfile/attribute/visitor/AttributeVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/classfile/io/ProgramClassReader|,|java+interface:///proguard/classfile/visitor/MemberVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/optimize/info/PackageVisibleMemberContainingClassMarker|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/classfile/attribute/visitor/StackSizeComputer|,|java+interface:///proguard/classfile/attribute/visitor/AttributeVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/optimize/info/InstanceofClassMarker|,|java+interface:///proguard/classfile/instruction/visitor/InstructionVisitor|>,|java+class:///proguard/optimize/peephole/ReachableCodeMarker|>,
  <<|java+class:///proguard/classfile/visitor/MethodImplementationTraveler|,|java+interface:///proguard/classfile/visitor/MemberVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/optimize/KeptClassFilter|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/classfile/editor/VariableSizeUpdater|,|java+interface:///proguard/classfile/attribute/visitor/AttributeVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/optimize/TailRecursionSimplifier|,|java+interface:///proguard/classfile/constant/visitor/ConstantVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/optimize/info/SuperInvocationMarker|,|java+interface:///proguard/classfile/instruction/visitor/InstructionVisitor|>,|java+class:///proguard/optimize/peephole/ReachableCodeMarker|>,
  <<|java+class:///proguard/classfile/editor/NamedAttributeDeleter|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/classfile/editor/Utf8Shrinker|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/classfile/io/ProgramClassReader|,|java+interface:///proguard/classfile/attribute/visitor/InnerClassesInfoVisitor|>,|java+class:///proguard/classfile/editor/InnerClassesAccessFixer|>,
  <<|java+class:///proguard/optimize/peephole/ReachableCodeMarker|,|java+interface:///proguard/classfile/attribute/visitor/AttributeVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/classfile/editor/CodeAttributeEditorResetter|,|java+interface:///proguard/classfile/attribute/visitor/AttributeVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/optimize/peephole/ClassMerger|,|java+interface:///proguard/classfile/constant/visitor/ConstantVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/gui/splash/LinearColor|,|java+interface:///proguard/gui/splash/VariableColor|>,|java+class:///proguard/gui/splash/ConstantColor|>,
  <<|java+class:///proguard/optimize/evaluation/LivenessAnalyzer|,|java+interface:///proguard/classfile/attribute/visitor/AttributeVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/obfuscate/MemberObfuscator/MyFixedName|,|java+interface:///proguard/classfile/VisitorAccepter|>,|java+class:///proguard/classfile/attribute/ExceptionInfo|>,
  <<|java+class:///proguard/classfile/editor/SubclassToAdder|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/gui/splash/RectangleSprite|,|java+interface:///proguard/gui/splash/Sprite|>,|java+class:///proguard/gui/splash/ShadowedSprite|>,
  <<|java+class:///proguard/obfuscate/NameFactoryResetter|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/optimize/info/InstantiationClassFilter|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/optimize/MemberDescriptorSpecializer|,|java+interface:///proguard/classfile/visitor/MemberVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/classfile/io/ProgramClassReader|,|java+interface:///proguard/classfile/attribute/visitor/LocalVariableTypeInfoVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/shrink/UsageMarker|,|java+interface:///proguard/classfile/attribute/visitor/LocalVariableTypeInfoVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/classfile/io/ProgramClassReader|,|java+interface:///proguard/classfile/attribute/annotation/visitor/AnnotationVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/classfile/io/LibraryClassReader|,|java+interface:///proguard/classfile/visitor/MemberVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/classfile/io/ProgramClassWriter/AttributeBodyWriter|,|java+interface:///proguard/classfile/attribute/preverification/visitor/VerificationTypeVisitor|>,|java+class:///proguard/classfile/io/ProgramClassWriter/StackMapFrameBodyWriter|>,
  <<|java+class:///proguard/optimize/info/BackwardBranchMarker|,|java+interface:///proguard/classfile/instruction/visitor/InstructionVisitor|>,|java+class:///proguard/optimize/peephole/ReachableCodeMarker|>,
  <<|java+class:///proguard/util/ListMatcher|,|java+interface:///proguard/util/StringMatcher|>,|java+class:///proguard/util/AndMatcher|>,
  <<|java+class:///proguard/shrink/LocalVariableTypeUsageMarker|,|java+interface:///proguard/classfile/attribute/visitor/AttributeVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/classfile/editor/NameAndTypeShrinker|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/optimize/peephole/GotoReturnReplacer|,|java+interface:///proguard/classfile/instruction/visitor/InstructionVisitor|>,|java+class:///proguard/optimize/peephole/ReachableCodeMarker|>,
  <<|java+class:///proguard/optimize/MethodStaticizer|,|java+interface:///proguard/classfile/attribute/visitor/AttributeVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/classfile/io/ProgramClassReader|,|java+interface:///proguard/classfile/attribute/visitor/ExceptionInfoVisitor|>,|java+class:///proguard/classfile/editor/ExceptionInfoAdder|>,
  <<|java+class:///proguard/optimize/info/DotClassFilter|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/classfile/constant/visitor/BootstrapMethodHandleTraveler|,|java+interface:///proguard/classfile/constant/visitor/ConstantVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/classfile/editor/ClassMemberSorter|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/classfile/visitor/LibraryMemberFilter|,|java+interface:///proguard/classfile/visitor/MemberVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/classfile/visitor/ExceptClassFilter|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/classfile/editor/ConstantPoolRemapper|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/optimize/info/InstantiationClassMarker|,|java+interface:///proguard/classfile/instruction/visitor/InstructionVisitor|>,|java+class:///proguard/optimize/peephole/ReachableCodeMarker|>,
  <<|java+class:///proguard/classfile/io/ProgramClassReader|,|java+interface:///proguard/classfile/attribute/visitor/LocalVariableInfoVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/gui/splash/BufferedSprite|,|java+interface:///proguard/gui/splash/Sprite|>,|java+class:///proguard/gui/splash/ShadowedSprite|>,
  <<|java+class:///proguard/shrink/UsageMarker|,|java+interface:///proguard/classfile/attribute/visitor/LocalVariableInfoVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/util/ListParser|,|java+interface:///proguard/util/StringParser|>,|java+class:///proguard/util/NameParser|>,
  <<|java+class:///proguard/obfuscate/MapCleaner|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/SubclassedClassFilter|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
