[
  <<|java+class:///proguard/classfile/attribute/preverification/IntegerType|,|java+class:///proguard/classfile/attribute/preverification/VerificationType|>,220,<|java+field:///proguard/classfile/attribute/preverification/VerificationType/INTEGER_TYPE|,|java+method:///proguard/classfile/attribute/preverification/IntegerType/getTag()|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/generalize(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/generalize(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/shiftLeftOf(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/shiftLeft(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/SpecificIntegerValue|>,220,<|java+method:///proguard/evaluation/value/SpecificIntegerValue/generalize(proguard.evaluation.value.SpecificIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/generalize(proguard.evaluation.value.ParticularIntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/divideOf(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/divide(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/Value|>,220,<|java+field:///proguard/evaluation/value/Value/ALWAYS|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/equal(proguard.evaluation.value.ParticularIntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/Value|>,220,<|java+field:///proguard/evaluation/value/Value/NEVER|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/equal(proguard.evaluation.value.ParticularIntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/or(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/or(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/shiftLeft(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/shiftLeftOf(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/multiply(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/multiply(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/add(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/add(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/Value|>,220,<|java+field:///proguard/evaluation/value/Value/ALWAYS|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/lessThan(proguard.evaluation.value.ParticularIntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/Value|>,220,<|java+field:///proguard/evaluation/value/Value/NEVER|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/lessThan(proguard.evaluation.value.ParticularIntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/Value|>,220,<|java+field:///proguard/evaluation/value/Value/ALWAYS|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/lessThanOrEqual(proguard.evaluation.value.ParticularIntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/Value|>,220,<|java+field:///proguard/evaluation/value/Value/NEVER|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/lessThanOrEqual(proguard.evaluation.value.ParticularIntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/unsignedShiftRight(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/unsignedShiftRightOf(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/remainderOf(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/remainder(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/unsignedShiftRightOf(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/unsignedShiftRight(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/divide(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/divideOf(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/shiftRight(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/shiftRightOf(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/subtractFrom(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/subtract(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/SpecificIntegerValue|>,220,<|java+method:///proguard/evaluation/value/SpecificIntegerValue/equals(java.lang.Object)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/equals(java.lang.Object)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/equal(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/equal(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/greaterThan(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/lessThan(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/shiftRightOf(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/shiftRight(proguard.evaluation.value.IntegerValue)|>>,
  <<|java+class:///proguard/evaluation/value/ParticularIntegerValue|,|java+class:///proguard/evaluation/value/IntegerValue|>,220,<|java+method:///proguard/evaluation/value/IntegerValue/greaterThanOrEqual(proguard.evaluation.value.ParticularIntegerValue)|,|java+method:///proguard/evaluation/value/ParticularIntegerValue/lessThanOrEqual(proguard.evaluation.value.IntegerValue)|>>,
