[
  <<|java+class:///org/rssowl/core/persist/event/runnable/SearchConditionEventRunnable|,|java+class:///org/rssowl/core/persist/event/runnable/EventRunnable|>,220,<|java+method:///org/rssowl/core/persist/event/runnable/EventRunnable/getDAOService()|,|java+constructor:///org/rssowl/core/persist/event/runnable/SearchConditionEventRunnable/SearchConditionEventRunnable()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+method:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/onDatabaseClosed(org.rssowl.core.internal.persist.service.DatabaseEvent)|,|java+method:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl/onDatabaseClosed(org.rssowl.core.internal.persist.service.DatabaseEvent)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+method:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/loadAll()|,|java+method:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl/doLoad()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+method:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/saveAll(java.util.Collection)|,|java+method:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl/saveAll(java.util.Collection)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+method:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/delete(T)|,|java+method:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl/delete(org.rssowl.core.persist.NewsCounter)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+field:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/fDb|,|java+method:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl/doSave(org.rssowl.core.persist.NewsCounter)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+method:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/doSave(T)|,|java+method:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl/doSave(org.rssowl.core.persist.NewsCounter)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+field:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/fDb|,|java+method:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl/doCountAll()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+field:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/fDb|,|java+method:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl/save()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+method:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/onDatabaseOpened(org.rssowl.core.internal.persist.service.DatabaseEvent)|,|java+method:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl/onDatabaseOpened(org.rssowl.core.internal.persist.service.DatabaseEvent)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+method:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/save(T)|,|java+method:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl/onDatabaseOpened(org.rssowl.core.internal.persist.service.DatabaseEvent)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+method:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/delete(T)|,|java+method:///org/rssowl/core/internal/persist/dao/NewsCounterDAOImpl/delete()|>>,
  <<|java+class:///org/rssowl/core/tests/connection/MyCredentialsProvider|,|java+class:///org/rssowl/core/connection/PlatformCredentialsProvider|>,220,<|java+method:///org/rssowl/core/connection/PlatformCredentialsProvider/deleteAuthCredentials(java.net.URI,java.lang.String)|,|java+method:///org/rssowl/core/tests/connection/MyCredentialsProvider/deleteAuthCredentials(java.net.URI,java.lang.String)|>>,
  <<|java+class:///org/rssowl/core/tests/connection/MyCredentialsProvider|,|java+class:///org/rssowl/core/connection/PlatformCredentialsProvider|>,220,<|java+method:///org/rssowl/core/connection/PlatformCredentialsProvider/getAuthCredentials(java.net.URI,java.lang.String)|,|java+method:///org/rssowl/core/tests/connection/MyCredentialsProvider/getAuthCredentials(java.net.URI,java.lang.String)|>>,
