[
  <<|java+class:///net/sourceforge/squirrel_sql/fw/dialects/FirebirdDialectExt/FirebirdDialectHelper|,|java+class:///org/hibernate/dialect/FirebirdDialect|>,211,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/FirebirdDialectExt.java|(3251,52,<82,9>,<82,61>),|java+method:///org/hibernate/dialect/Dialect/getTypeName(int,int,int,int)|>,
  <<|java+interface:///net/sourceforge/squirrel_sql/fw/sql/ITableInfo|,|java+interface:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/FirebirdDialectExt.java|(7381,18,<218,56>,<218,74>),|java+method:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo/getSimpleName()|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/resources/LibraryResources|,|java+class:///net/sourceforge/squirrel_sql/fw/util/Resources|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/gui/action/TableExportCsvDlg.java|(8905,47,<222,35>,<222,82>),|java+method:///net/sourceforge/squirrel_sql/fw/util/Resources/getIcon(java.lang.String)|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/resources/LibraryResources|,|java+class:///net/sourceforge/squirrel_sql/fw/util/Resources|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/gui/action/TableExportCsvDlg.java|(13333,47,<328,28>,<328,75>),|java+method:///net/sourceforge/squirrel_sql/fw/util/Resources/getIcon(java.lang.String)|>,
  <<|java+interface:///net/sourceforge/squirrel_sql/fw/sql/ITableInfo|,|java+interface:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/DialectUtils.java|(14136,26,<445,43>,<445,69>),|java+method:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo/getSimpleName()|>,
  <<|java+interface:///net/sourceforge/squirrel_sql/fw/sql/ITableInfo|,|java+interface:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/DialectUtils.java|(20033,18,<615,42>,<615,60>),|java+method:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo/getSimpleName()|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/sql/TableColumnInfo|,|java+class:///net/sourceforge/squirrel_sql/fw/sql/DatabaseObjectInfo|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/DialectUtils.java|(52512,21,<1585,23>,<1585,44>),|java+method:///net/sourceforge/squirrel_sql/fw/sql/DatabaseObjectInfo/getCatalogName()|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/sql/TableColumnInfo|,|java+class:///net/sourceforge/squirrel_sql/fw/sql/DatabaseObjectInfo|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/DialectUtils.java|(52535,20,<1585,46>,<1585,66>),|java+method:///net/sourceforge/squirrel_sql/fw/sql/DatabaseObjectInfo/getSchemaName()|>,
  <<|java+interface:///net/sourceforge/squirrel_sql/fw/sql/ITableInfo|,|java+interface:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/DialectUtils.java|(59528,18,<1790,36>,<1790,54>),|java+method:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo/getSimpleName()|>,
  <<|java+interface:///net/sourceforge/squirrel_sql/fw/sql/ITableInfo|,|java+interface:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/DialectUtils.java|(59548,18,<1790,56>,<1790,74>),|java+method:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo/getSchemaName()|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/sql/PrimaryKeyInfo|,|java+class:///net/sourceforge/squirrel_sql/fw/sql/DatabaseObjectInfo|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/DialectUtils.java|(60718,30,<1831,18>,<1831,48>),|java+method:///net/sourceforge/squirrel_sql/fw/sql/DatabaseObjectInfo/getSimpleName()|>,
