[
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(2570,15,<81,26>,<81,41>),|java+method:///java/util/AbstractSequentialList/iterator()|>,
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(4061,19,<133,25>,<133,44>),|java+method:///java/util/AbstractList/listIterator()|>,
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(4415,29,<144,8>,<144,37>),|java+method:///java/util/AbstractCollection/addAll(java.util.Collection)|>,
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(5105,29,<165,8>,<165,37>),|java+method:///java/util/AbstractCollection/addAll(java.util.Collection)|>,
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(5476,29,<177,8>,<177,37>),|java+method:///java/util/AbstractCollection/addAll(java.util.Collection)|>,
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(5836,29,<189,8>,<189,37>),|java+method:///java/util/AbstractCollection/addAll(java.util.Collection)|>,
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(5893,19,<191,25>,<191,44>),|java+method:///java/util/AbstractList/listIterator()|>,
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(6491,19,<210,25>,<210,44>),|java+method:///java/util/AbstractList/listIterator()|>,
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(7301,19,<239,25>,<239,44>),|java+method:///java/util/AbstractList/listIterator()|>,
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(7696,29,<253,8>,<253,37>),|java+method:///java/util/AbstractCollection/addAll(java.util.Collection)|>,
  <<|java+class:///gnu/trove/TLinkedList|,|java+class:///java/util/AbstractSequentialList|>,211,|project://trove-2.1.0/test/gnu/trove/TLinkedListTest.java|(7753,19,<255,25>,<255,44>),|java+method:///java/util/AbstractList/listIterator()|>,
