[
  <<|java+class:///ChallengeHandler|,|java+interface:///net/wastl/webmail/server/URLHandler|>,207,|project://webmail-0.7.10/src/org/webengruven/webmail/plugins/ChallengeHandler.java|(1623,49,<47,8>,<47,57>)>,
  <<|java+class:///org/webengruven/webmail/auth/CRAuthDisplayMngr|,|java+class:///org/webengruven/webmail/auth/AuthDisplayMngr|>,203,|project://webmail-0.7.10/src/org/webengruven/webmail/plugins/ChallengeHandler.java|(2631,66,<89,16>,<89,82>)>,
  <<|java+class:///net/wastl/webmail/xml/XMLUserData|,|java+interface:///net/wastl/webmail/server/UserData|>,207,|project://webmail-0.7.10/src/org/webengruven/webmail/plugins/ChallengeHandler.java|(2711,37,<90,12>,<90,49>)>,
  <<|java+class:///net/wastl/webmail/ui/xml/XHTMLDocument|,|java+class:///net/wastl/webmail/ui/html/HTMLDocument|>,201,|project://webmail-0.7.10/src/org/webengruven/webmail/plugins/ChallengeHandler.java|(3178,120,<102,8>,<103,52>)>,
  <<|java+class:///NavBar|,|java+interface:///net/wastl/webmail/server/URLHandler|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/NavBar.java|(1653,48,<57,1>,<57,49>)>,
  <<|java+class:///net/wastl/webmail/server/WebMailSession|,|java+interface:///net/wastl/webmail/server/HTTPSession|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/NavBar.java|(2390,23,<82,21>,<82,44>)>,
  <<|java+class:///net/wastl/webmail/ui/xml/XHTMLDocument|,|java+class:///net/wastl/webmail/ui/html/HTMLDocument|>,206,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/NavBar.java|(2454,113,<84,8>,<84,121>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/config/ChoiceConfigParameter.java|(1696,27,<56,16>,<56,43>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/config/ChoiceConfigParameter.java|(1688,35,<56,8>,<56,43>)>,
  <<|java+class:///Composer|,|java+interface:///net/wastl/webmail/server/URLHandler|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/Composer.java|(1684,48,<57,1>,<57,49>)>,
  <<|java+class:///net/wastl/webmail/server/WebMailSession|,|java+interface:///net/wastl/webmail/server/HTTPSession|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/Composer.java|(2206,20,<82,24>,<82,44>)>,
  <<|java+class:///net/wastl/webmail/ui/xml/XHTMLDocument|,|java+class:///net/wastl/webmail/ui/html/HTMLDocument|>,206,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/Composer.java|(3387,132,<126,8>,<128,54>)>,
  <<|java+class:///ErrorHandler|,|java+interface:///net/wastl/webmail/server/URLHandler|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/ErrorHandler.java|(1512,48,<53,1>,<53,49>)>,
  <<|java+class:///net/wastl/webmail/server/WebMailSession|,|java+interface:///net/wastl/webmail/server/HTTPSession|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/ErrorHandler.java|(2147,23,<79,25>,<79,48>)>,
  <<|java+class:///net/wastl/webmail/ui/xml/XHTMLDocument|,|java+class:///net/wastl/webmail/ui/html/HTMLDocument|>,206,|project://webmail-0.7.10/src/net/wastl/webmail/plugins/ErrorHandler.java|(2270,83,<83,8>,<83,91>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(3699,19,<118,17>,<118,36>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(3728,38,<119,8>,<119,46>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(3878,31,<126,5>,<126,36>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(4381,19,<142,18>,<142,37>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(4410,40,<143,8>,<143,48>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(4742,19,<156,18>,<156,37>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(4771,40,<157,8>,<157,48>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(5009,28,<166,5>,<166,33>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(5371,19,<179,10>,<179,29>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(5445,27,<182,5>,<182,32>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(5597,19,<188,30>,<188,49>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(5694,45,<191,5>,<191,50>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(6126,19,<203,18>,<203,37>)>,
  <<|java+interface:///org/w3c/dom/Node|,|java+class:///java/lang/Object|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(6385,24,<211,19>,<211,43>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(6824,19,<226,10>,<226,29>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(6898,27,<229,5>,<229,32>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(6952,58,<232,20>,<232,78>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(7013,28,<233,1>,<233,29>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(7696,25,<257,5>,<257,30>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(7738,31,<259,5>,<259,36>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(7738,31,<259,5>,<259,36>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(7978,19,<267,9>,<267,28>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(7977,55,<267,8>,<267,63>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(8046,19,<268,10>,<268,29>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(8200,30,<275,5>,<275,35>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(8488,19,<285,9>,<285,28>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(8487,55,<285,8>,<285,63>)>,
  <<|java+interface:///org/w3c/dom/Element|,|java+interface:///org/w3c/dom/Node|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/xml/XMLUserModel.java|(8556,19,<286,10>,<286,29>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/authenticators/SimpleAuthenticator.java|(1047,19,<39,38>,<39,57>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/URLHandlerTree.java|(1443,15,<54,4>,<54,19>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/URLHandlerTree.java|(1462,14,<54,23>,<54,37>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/URLHandlerTree.java|(1641,23,<59,44>,<59,67>)>,
  <<|java+class:///net/wastl/webmail/server/URLHandlerTree|,|java+class:///java/lang/Object|>,203,|project://webmail-0.7.10/src/net/wastl/webmail/server/URLHandlerTree.java|(1625,39,<59,28>,<59,67>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/URLHandlerTree.java|(2046,15,<73,4>,<73,19>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://webmail-0.7.10/src/net/wastl/webmail/server/URLHandlerTree.java|(2065,14,<73,23>,<73,37>)>,
